curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
77,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
78,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
79,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
80,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
81,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
82,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
83,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
84,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
85,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
86,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
87,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
88,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
89,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
90,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
91,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
92,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
93,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
94,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
95,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
96,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
97,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
98,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
99,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
100,0.7251184834123223,['H2FS7', 'H2TO28', 'H1TO50', 'H1ED17', 'H1EE7', 'H2PF5', 'H1FS13', 'H2DS2', 'H1GH29', 'H1PF25', 'H1FS15', 'H1GH19', 'H2FS15', 'H2DS14', 'H2FS1', 'H2WP4', 'H1WP14', 'H1FS18', 'H1PF26', 'H1TS3', 'H1PF16', 'H1PF31', 'H1FS9', 'H1ED7', 'S60K', 'H1WP2', 'H1WP1', 'H2DS7', 'H1PF30', 'H2PF24', 'H1GH20', 'H2PF12', 'H2GH30', 'H1DS14', 'H1WP3', 'H2PF29', 'H1DA6', 'H1PF32', 'H2PF27', 'S62P', 'H2PF9', 'S62H', 'H1TO9', 'H1PF10', 'H2EE12', 'H2FS16', 'H1DS7', 'H2PF22', 'H2ED16', 'H1PF33', 'H1PF16', 'H1FS11', 'H2FV7', 'H1ED15', 'H2ED12', 'H1ED19', 'H2WP7', 'H1PF36', 'H1DS5', 'H2ED17', 'H1WP6', 'H1TO3', 'H2EE14', 'H1PF7', 'S45A', 'H2ED5', 'H1WP4', 'S60M', 'H1PF34', 'H1FS4'],93,10,57
