curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1PF1', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H1FS13', 'H1EE5', 'H2PR5', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9', 'H2GH22', 'H2FS12', 'H1DA2', 'H2FV7', 'H2DS5', 'H2GH25', 'S60O', 'H2WP2', 'H2PF7', 'H1WP4', 'S62Q', 'H2ED5', 'H1WP5', 'H2PF26', 'H1DS5', 'H2DS8', 'H2TO1', 'H2ED3', 'H2PF24', 'H2FV4', 'H1GH52', 'H1FS5', 'H2FS11', 'H2FV6', 'S62R', 'H2EE12', 'H1IR12', 'H1TO3', 'H2FS8', 'H1TO50', 'H1EE7', 'H2FV5', 'H2GH27', 'H2WP5', 'H2WP14'],41,7,11
12,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1PF1', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H1FS13', 'H1EE5', 'H2PR5', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9', 'H2GH22', 'H2FS12', 'H1DA2', 'H2FV7', 'H2DS5', 'H2GH25', 'S60O', 'H2WP2', 'H2PF7', 'H1WP4', 'S62Q', 'H2ED5', 'H1WP5', 'H2PF26', 'H1DS5', 'H2DS8', 'H2TO1', 'H2ED3', 'H2PF24', 'H2FV4', 'H1GH52', 'H1FS5', 'H2FS11', 'H2FV6', 'S62R', 'H2EE12', 'H1IR12', 'H1TO3', 'H2FS8', 'H1TO50', 'H1EE7', 'H2FV5', 'H2GH27', 'H2WP5', 'H2WP14'],41,7,11
13,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1PF1', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H1FS13', 'H1EE5', 'H2PR5', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9', 'H2GH22', 'H2FS12', 'H1DA2', 'H2FV7', 'H2DS5', 'H2GH25', 'S60O', 'H2WP2', 'H2PF7', 'H1WP4', 'S62Q', 'H2ED5', 'H1WP5', 'H2PF26', 'H1DS5', 'H2DS8', 'H2TO1', 'H2ED3', 'H2PF24', 'H2FV4', 'H1GH52', 'H1FS5', 'H2FS11', 'H2FV6', 'S62R', 'H2EE12', 'H1IR12', 'H1TO3', 'H2FS8', 'H1TO50', 'H1EE7', 'H2FV5', 'H2GH27', 'H2WP5', 'H2WP14'],41,7,11
14,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1PF1', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H1FS13', 'H1EE5', 'H2PR5', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9', 'H2GH22', 'H2FS12', 'H1DA2', 'H2FV7', 'H2DS5', 'H2GH25', 'S60O', 'H2WP2', 'H2PF7', 'H1WP4', 'S62Q', 'H2ED5', 'H1WP5', 'H2PF26', 'H1DS5', 'H2DS8', 'H2TO1', 'H2ED3', 'H2PF24', 'H2FV4', 'H1GH52', 'H1FS5', 'H2FS11', 'H2FV6', 'S62R', 'H2EE12', 'H1IR12', 'H1TO3', 'H2FS8', 'H1TO50', 'H1EE7', 'H2FV5', 'H2GH27', 'H2WP5', 'H2WP14'],41,7,11
15,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
16,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
17,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
18,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
19,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
20,0.7316350710900474,['H1PF14', 'H2WP14', 'H1GH21', 'H1FS11', 'H2FV4', 'H2EE12', 'H2PF4', 'H2PF14', 'H2PF16', 'H2PF27', 'H1FS1', 'H2TO1', 'H2PF13', 'H2DS12', 'H1ED2', 'S62R', 'H2FS7', 'H2EE14', 'H1PF16', 'H2DS14', 'H2WP13', 'H2FV6', 'H1PF25', 'H1IR3', 'H2TO26', 'H2PF15', 'H2SE4', 'H2FS8', 'H1ED24', 'H2TO15', 'H1DS13', 'H2FS3', 'H2PF8', 'H1WP1', 'S62Q', 'H2FS9', 'H1TS3', 'H2DS3', 'H2PF9', 'S60N', 'H1DA2', 'H2FS17', 'S60M', 'H2FS12', 'H1PF24', 'H2FS1', 'H2PR5', 'H1PF8', 'H2GH25', 'H2PF30', 'H2GH26', 'H2DS8', 'H1DS12', 'H1DS6', 'H2PF12', 'S62R', 'H1FS2', 'H1TO50', 'H1WP7', 'H2FS9', 'H1EE5', 'H1PF10', 'H1FS10', 'H1TO3', 'H1PF4'],56,79,21
