curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
12,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
13,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
14,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
15,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
16,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
17,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
18,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
19,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
20,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
21,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
22,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
23,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
24,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
25,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
26,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
27,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
28,0.7280805687203792,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2ED13', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],32,96,18
