curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
36,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
37,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
38,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
39,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
40,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
41,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
42,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
43,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
44,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
45,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
46,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
47,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
48,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
49,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
50,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
51,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
52,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
53,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
54,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
55,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
56,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
57,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
58,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
59,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
60,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
61,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
62,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
63,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
64,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
65,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
66,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
67,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
68,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
69,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
70,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
71,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
72,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
73,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
74,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
75,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
76,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
77,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
