curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
21,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
22,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
23,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
24,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
25,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
26,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
27,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
28,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
29,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
30,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
31,0.7221563981042654,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'S62Q', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19'],63,42,24
32,0.7233412322274881,['H1GH17', 'H1DS9', 'H1ED16', 'H1PF14', 'H2FS18', 'H1ED24', 'H2PR3', 'H1EE5', 'S60M', 'H2DS11', 'H2FV3', 'H2DS6', 'H2FV2', 'H1PF34', 'H2EE14', 'S60O', 'S62H', 'H2PF35', 'H1PF31', 'H2DS4', 'H1PF7', 'H1FS15', 'PA56', 'H1FS2', 'H1FS12', 'H1FS10', 'PA21', 'H1PF14', 'H1PF10', 'H1TO3', 'H2PF29', 'H1PF35', 'H1WP7', 'H1PF5', 'S62E', 'H2PR5', 'H1TO9', 'H1FS17', 'H2FS12', 'H2ED13'],100,67,18
33,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
34,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
35,0.7268957345971564,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H2PF14', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H1PF25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1WP4', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF7', 'H2FV3', 'H1PF7', 'H2TO28', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2', 'H2DS8', 'H2FV1', 'H2ED15', 'H1PF5', 'H1FS11'],67,36,14
