curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
31,0.7251184834123223,['H1ED16', 'H2PF13', 'H2PF22', 'H2ED3', 'H1DS13', 'H2WP2', 'H2WP1', 'H1FS1', 'H2GH45', 'S60O', 'H2GH24', 'H1TS3', 'H2PF35', 'H1DS6', 'H2TO25', 'H2TO11', 'H2PF26', 'H1DS11', 'H1FS13', 'S60K', 'H1TO3', 'H1ED18', 'S62O', 'H2TO30', 'H1PF14', 'H2ED11', 'H2PF33', 'H2PF31', 'H2FV3', 'H1PF7', 'H1DS9', 'H2GH23', 'H1ED18', 'H1PF2', 'H2FV2'],66,39,15
32,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
33,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
34,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
35,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
36,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
37,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
38,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
39,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
40,0.7268957345971564,['H2FS11', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H2FS3', 'H2FV3', 'H1EE7', 'H2FS18', 'H1TO3', 'H2FV2', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1DS13', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H1DA2', 'H1PF10', 'H1PF14', 'H2PF13', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],53,57,15
