curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
24,0.7061611374407583,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2FS19', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],43,45,62
25,0.7067535545023697,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],41,43,62
26,0.7067535545023697,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],41,43,62
27,0.7079383886255924,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,62
28,0.7079383886255924,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,62
29,0.7079383886255924,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,62
30,0.7079383886255924,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,62
31,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
32,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
33,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
34,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
35,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
36,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
37,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
38,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
39,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
40,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
41,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
42,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
43,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
44,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
45,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
46,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
47,0.7085308056872038,['H2FV4', 'H2DS6', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1WP4', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2GH25', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H1DS10', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'H1PF35', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2PF22', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'H1WP10', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],39,43,60
