curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
12,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
13,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
14,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
15,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
16,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
17,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
18,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
19,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
20,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
21,0.6990521327014217,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'S45C', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,74,5
