curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
54,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
55,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
56,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
57,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
58,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
59,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
60,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
61,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
62,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
63,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
64,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
65,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
66,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
67,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
68,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
69,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
70,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
71,0.7008293838862559,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],68,13,3
72,0.7020142180094787,['H1TO9', 'H1PF34', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,73,4
73,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
74,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
75,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
76,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
77,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
78,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
79,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
80,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
81,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
82,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
83,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
84,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
85,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
86,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
87,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
88,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
89,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
90,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
91,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
92,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
93,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
94,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
95,0.7043838862559242,['H1TO9', 'H1EE5', 'H2DS10', 'H2FS16', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,71,5
96,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
97,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
98,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
99,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
100,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
101,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
102,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
103,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
104,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
105,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
106,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
107,0.7043838862559242,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'H1PF23', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FS8', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'S62O', 'H2FS18', 'H1FS15', 'H1DS10', 'H1EE7', 'H1FS10', 'H1WP10', 'H1FS5', 'H1EE5', 'H1PF23'],66,13,2
