curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
79,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
80,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
81,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
82,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
83,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
84,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
85,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
86,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
87,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
88,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
89,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
90,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
91,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
92,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
93,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
94,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
95,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
96,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
97,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
98,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
99,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
100,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
101,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
102,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
103,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
104,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
105,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
106,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
107,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
108,0.7280805687203792,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FV3', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],86,2,10
109,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
110,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
111,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
112,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
113,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
114,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
115,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
116,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
117,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
118,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
119,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
120,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
121,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
122,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
123,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
124,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
125,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
126,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
127,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
128,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
129,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
130,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
131,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
132,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
133,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
134,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
135,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
136,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
137,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
138,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
139,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
140,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
141,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
142,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
143,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
144,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
145,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
146,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
147,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
148,0.7280805687203792,['H1DS6', 'H2PF7', 'S60K', 'H1PF2', 'PC40', 'H1GH22', 'H1PF32', 'H1GH21', 'H1PF16', 'H2DS10', 'H2GH31', 'H1GH29', 'S60K', 'S59E', 'H1PF34', 'H1TO9', 'H1TO3', 'H1FS12', 'H1FS6', 'H2PF31'],15,3,14
149,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
150,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
151,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
152,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
153,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
154,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
155,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
156,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
157,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
158,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
159,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
160,0.7280805687203792,['H1PF23', 'H2FS16', 'H2TO1', 'H2PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2ED13', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],48,3,9
