curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
28,0.7251184834123223,['H1SE4', 'H2FS16', 'H2TO1', 'H1PF8', 'H1DS12', 'H2PF4', 'S45C', 'H1DS7', 'H2FS18', 'S45A', 'H2DS4', 'H2FS2', 'H2FS16', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],46,2,8
29,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
30,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
31,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
32,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
33,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
34,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
35,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
36,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
37,0.7268957345971564,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2FS4', 'H2PR3', 'H1FS19', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],75,20,7
