curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
31,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
32,0.7239336492890995,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'PC40', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],62,90,49
33,0.7239336492890995,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'PC40', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],62,90,49
34,0.7239336492890995,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'PC40', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],62,90,49
35,0.7239336492890995,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'PC40', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],62,90,49
36,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
37,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
38,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
39,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
40,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
41,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
42,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
43,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
44,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
45,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
46,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
47,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
48,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
49,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
50,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
51,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
52,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
53,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
54,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
55,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
56,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
57,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
58,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
59,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
60,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
61,0.7257109004739336,['H2FV6', 'H1PF23', 'H1FS16', 'H2PF8', 'H1DS15', 'H1PF10', 'H2DS7', 'H2FS15', 'H2PF30', 'S62E', 'H2FS13', 'H1GH20', 'H2EE14', 'H2PF17', 'H2GH27', 'H1WP5', 'H1DA6', 'H2PF21', 'H1WP7', 'H2PF10', 'H1EE7', 'H1DS5', 'H2TO11', 'H1IR3', 'H2PR3', 'H1ED20', 'S62M', 'H1ED18', 'H2PF30', 'H1FS10', 'H2WP1', 'H2PF13', 'H1TO3', 'H2ED15', 'H2TO25', 'H2TO27', 'H2DS14', 'H1PF33', 'H2TO11', 'H1PF26', 'H2PF23', 'PA56', 'S60L', 'H2FV5', 'H2ED5', 'H1PF32', 'H2DS1', 'H2GH24', 'PA21', 'H1TO50', 'H2PF9', 'H2TO29', 'H1FS1', 'H2DS9', 'H2FS12'],63,91,50
