curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
12,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
13,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
14,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
15,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
16,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
17,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
18,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
19,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
20,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1IR3', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H1WP2', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1WP6', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'S60O', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22'],79,11,68
