curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
18,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
19,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
20,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
21,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
22,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
23,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
24,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
25,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
26,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
27,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
28,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
29,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
