curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
79,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
80,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
81,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
82,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
83,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
84,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
85,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
86,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
87,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
88,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
89,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
90,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
91,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
92,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
93,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
94,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
95,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
96,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
97,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
98,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
99,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
100,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
101,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
102,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
103,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
104,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
105,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
106,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
107,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
108,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
109,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
110,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
111,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
112,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
113,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
114,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
115,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
116,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
117,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
118,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
119,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
120,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
121,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
122,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
123,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
124,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
125,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
126,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
127,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
128,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
129,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
130,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
131,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
132,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
133,0.7245260663507109,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1FS5', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,68,9
134,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
135,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
136,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
137,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
138,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
139,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
140,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
141,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
142,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
143,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
144,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
145,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
146,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
147,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
148,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
149,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
150,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
151,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
152,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
153,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
154,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
155,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
156,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
157,0.7251184834123223,['H1PF10', 'H2FS7', 'H1EE5', 'H2FS5', 'H1TO3', 'H2DS2', 'H1PF31', 'H2PF13', 'H1PF4', 'H2PF14', 'H2ED3', 'H1PF8', 'H2ED12', 'H2GH45', 'H1DS8', 'H1TO50', 'H2FS14', 'H1GH29', 'H2FS6', 'H2DS10'],69,66,9
