curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
15,0.7286729857819905,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,6,7
16,0.7286729857819905,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,6,7
17,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
18,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
19,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
20,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
21,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
22,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
23,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
24,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
25,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
26,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
27,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
28,0.7322274881516587,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2PF10', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],22,4,8
