curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
73,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
74,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
75,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
76,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
77,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
78,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
79,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
80,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
81,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
82,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
83,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
84,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
85,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
86,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
87,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
88,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
89,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
90,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
91,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
92,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
93,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
94,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
95,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
96,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
97,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
98,0.7286729857819905,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H1TO50', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'S45C', 'H1PF8', 'H2FS5', 'H2PF13', 'H1ED24', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H1GH18', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30'],86,20,62
