curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
21,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
22,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
23,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
24,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
25,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
26,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
27,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
28,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
29,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
30,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
31,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
32,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
33,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
34,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
35,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
36,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
37,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
38,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
39,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
40,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
41,0.7292654028436019,['H1WP10', 'H2DS7', 'H1TO12', 'H2FS3', 'H1EE7', 'H1TO9', 'H2GH26', 'H1RF14', 'H2GH27', 'H2PF9', 'H2PF32', 'H2PF15', 'H1FS19', 'H1IR3', 'S60O', 'H1TO1', 'H2PF27', 'H1PF14', 'S62P', 'S62R', 'H1TO12', 'H1WP14', 'H2FV4', 'H2DS12', 'H1FS8', 'H1FS4', 'H2PF26', 'H1FS12', 'H1PF34', 'H1ED17', 'H1WP1', 'H1TO3', 'H1GH22', 'H1WP6', 'H1WP1', 'S62P', 'H1GH18', 'H2PF13', 'H1DA2', 'H1FS8'],66,52,16
