curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
31,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
32,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
33,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
34,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
35,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
36,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
37,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
38,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
39,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
40,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
41,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
42,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
43,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
44,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
45,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
46,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
47,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
48,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
49,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
50,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
51,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
52,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
53,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
54,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
55,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
56,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
57,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
58,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
59,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
60,0.7298578199052133,['H2TO1', 'H2FS18', 'H2FS16', 'H2ED15', 'H1PF14', 'H1FS1', 'H1FS11', 'H2WP14', 'H2WP1', 'H2FS13', 'H1ED24', 'H2PF12', 'H1WP7', 'H2PF26', 'H1EE7', 'H2WP6', 'H1FS13', 'H2GH27', 'H2ED17', 'H2GH22', 'H2PF14', 'H2PF1', 'H2PF33', 'H2DS12', 'H1PF24', 'H2WP10', 'H1PF31', 'H1PF8', 'H2TO11', 'H2DS6', 'H2WP5', 'H1IR3', 'H2FS8', 'H1FS19', 'H1GH21', 'H2PF29', 'H2GH45', 'H1GH19', 'H1PF25', 'H2ED12', 'S62Q', 'S62H', 'H1TS3', 'H2GH25', 'H1TO3', 'H1TO9', 'H1DA2', 'H2FV4', 'S60M', 'H2DS8', 'H2FS3', 'H2FS11', 'H2FV1', 'H2ED14', 'H2TO27'],18,73,16
61,0.7298578199052133,['H2TO1', 'H2FS18', 'H2FS16', 'H2ED15', 'H1PF14', 'H1FS1', 'H1FS11', 'H2WP14', 'H2WP1', 'H2FS13', 'H1ED24', 'H2PF12', 'H1WP7', 'H2PF26', 'H1EE7', 'H2WP6', 'H1FS13', 'H2GH27', 'H2ED17', 'H2GH22', 'H2PF14', 'H2PF1', 'H2PF33', 'H2DS12', 'H1PF24', 'H2WP10', 'H1PF31', 'H1PF8', 'H2TO11', 'H2DS6', 'H2WP5', 'H1IR3', 'H2FS8', 'H1FS19', 'H1GH21', 'H2PF29', 'H2GH45', 'H1GH19', 'H1PF25', 'H2ED12', 'S62Q', 'S62H', 'H1TS3', 'H2GH25', 'H1TO3', 'H1TO9', 'H1DA2', 'H2FV4', 'S60M', 'H2DS8', 'H2FS3', 'H2FS11', 'H2FV1', 'H2ED14', 'H2TO27'],18,73,16
