curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
77,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
78,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
79,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
80,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
81,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
82,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
83,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
84,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
85,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
86,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
87,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
88,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
89,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
90,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
91,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
92,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
93,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
94,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
95,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
96,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
97,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
98,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
99,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
100,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
101,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
102,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
103,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
104,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
105,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
106,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
107,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
108,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
109,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
110,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
111,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
112,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
113,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
114,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
115,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
116,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
117,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
118,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
119,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
120,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
121,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
122,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
123,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
124,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
125,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
126,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
127,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
128,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
129,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
130,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
131,0.7031990521327014,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF10', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,97,3
132,0.7031990521327014,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF10', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,97,3
133,0.7031990521327014,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF10', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,97,3
134,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
135,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
136,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
137,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
138,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
139,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
140,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
141,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
142,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
143,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
144,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
145,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
146,0.7049763033175356,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,75,2
147,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
148,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
149,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
150,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
151,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
152,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
153,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
154,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
155,0.7061611374407583,['H1TO9', 'H1DS12', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1GH20', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2FS18', 'H1DS9'],3,73,2
