curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
18,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
19,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
20,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
21,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
22,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
23,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
24,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
25,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
26,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
27,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
28,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
29,0.6990521327014217,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H2DS10', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],4,74,2
30,0.6996445497630331,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],7,98,4
31,0.6996445497630331,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],7,98,4
32,0.7002369668246445,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],5,73,2
33,0.7002369668246445,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],5,73,2
34,0.7002369668246445,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],5,73,2
35,0.7002369668246445,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],5,73,2
36,0.7002369668246445,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA2', 'H1PF10', 'H2SE4', 'H1FS9', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'S45C', 'H1WP5', 'H1FS12', 'H1PF23', 'H2WP7', 'H1DS9'],5,73,2
37,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
38,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
39,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
40,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
41,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
42,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
43,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
