curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
58,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
59,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
60,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
61,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
62,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
63,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
64,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
65,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
66,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
67,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
68,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
69,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
70,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
71,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
72,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
73,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
74,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
75,0.726303317535545,['H1GH21', 'H1PF36', 'H1WP10', 'H1FS11', 'H1PF24', 'H1FS15', 'H2FS17', 'H2PF30', 'H2PF9', 'H1DS10', 'H2DS8', 'H2TO28', 'H1PF7', 'H1PF5', 'H2ED15', 'H1FS6', 'H2PF4', 'H2ED5', 'H1DS8', 'H2DS5', 'H2ED12', 'H1PF33', 'H1PF25', 'H2GH26', 'H1FS16', 'H1PF14', 'H1DS15', 'S62E', 'H1TO12', 'H2PF26', 'H1ED9', 'H1PF8', 'H1PF15', 'H2FS10', 'H2DS10', 'H2ED3', 'H1DS14', 'H2PF17', 'H2DS11', 'S59E', 'H2PF14', 'H2PF27', 'H2WP5', 'H2DS9', 'H1ED16', 'H1PF16', 'H2GH27', 'H2PF13', 'H2DS3', 'H2ED17', 'H2TO29', 'H2SE4', 'H1DS9', 'H2PF23', 'H2DS12', 'H2DS2', 'H2DS13', 'H1GH22', 'H1FS3', 'H2ED16', 'H2PF15', 'H1DS6', 'H1IR3', 'H1FS11', 'S60N', 'H2PF22', 'H2PR4', 'H2FS7', 'H1ED2', 'S62O', 'H1FS9', 'H2PR5', 'H1WP14', 'H1TO1', 'H2FV3', 'PA56', 'H2FS12', 'H1WP1', 'H2GH45', 'S62R', 'H1PF32', 'H2PF5', 'H1EE7', 'S62P', 'H2FS4', 'H1GH20', 'H2WP13', 'H1ED24', 'H1DS11', 'H2ED11', 'H1PF26', 'H2DS14', 'H1TO3', 'H1FS13', 'S45A'],75,63,80
