curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
24,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
25,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
26,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
27,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
28,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
29,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
30,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
31,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
32,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
33,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
34,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
35,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
36,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
37,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
38,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
39,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
40,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
41,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
42,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
43,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
44,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
45,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
46,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
47,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
48,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
49,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
50,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
51,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
52,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
53,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
54,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
55,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
56,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
57,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
58,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
59,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
60,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
61,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
62,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
63,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
64,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
65,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
66,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
67,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
68,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
69,0.6996445497630331,['H1TO9', 'H1ED18', 'H2DS10', 'H2PF14', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,71,3
