curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
103,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
104,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
105,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
106,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
107,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
108,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
109,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
110,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
111,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
112,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
113,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
114,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
115,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
116,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
117,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
118,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
119,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
120,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
121,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
122,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
123,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
124,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
125,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
126,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
127,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
128,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
129,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
130,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
131,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
132,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
133,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
134,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
135,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
136,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
137,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
138,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
139,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
140,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
141,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
142,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
143,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
144,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
145,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
146,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
147,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
148,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
149,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
150,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
151,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
152,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
153,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
154,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
155,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
156,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
157,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
158,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
159,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
160,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
161,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
162,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
163,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
164,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
165,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
166,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
167,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
168,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
169,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
170,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
171,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
172,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
173,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
174,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
175,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
176,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
177,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
178,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
179,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
180,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
181,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
182,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
183,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
184,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
185,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
186,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
187,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
188,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
189,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
190,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
191,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
192,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
193,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
194,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
195,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
196,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
197,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
198,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
199,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
200,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
201,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
202,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
203,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
