curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH17', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1ED15', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H1FS8', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'H1DS10', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19', 'H1GH52', 'H2DS12', 'H1PF4', 'H1FS14', 'H1PF23', 'H1DS7', 'H2FV3', 'H2PF8', 'S62R', 'H1FS18'],63,42,24
12,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH17', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1ED15', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H1FS8', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'H1DS10', 'H1FS11', 'H1EE5', 'H2FS18', 'H1DS13', 'H1FS19', 'H1GH52', 'H2DS12', 'H1PF4', 'H1FS14', 'H1PF23', 'H1DS7', 'H2FV3', 'H2PF8', 'S62R', 'H1FS18'],63,42,24
13,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
14,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
15,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
16,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
17,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
18,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
19,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
20,0.7298578199052133,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62P', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H2TO1', 'H1GH21', 'H2PF17', 'H1TO3', 'H2ED17'],55,73,27
