curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
47,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
48,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
49,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
50,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
51,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
52,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
53,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
54,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
55,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
56,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
57,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
58,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
59,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
60,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
61,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
62,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
63,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
64,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
65,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
66,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
67,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
68,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
69,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
70,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
71,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
72,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
73,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
74,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
75,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
76,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
77,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
78,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
79,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
80,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
81,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
82,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
83,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
84,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
85,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
86,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
87,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
88,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
89,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
90,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
91,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
92,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
93,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
