curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
63,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
64,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
65,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
66,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
67,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
68,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
69,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
70,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
71,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
72,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
73,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
74,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
75,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
76,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
77,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
78,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
79,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
80,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
81,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
82,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
83,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
84,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
85,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
86,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
87,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
88,0.7037914691943128,['H1TO9', 'H1FS1', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2TO30', 'H1DS5', 'H1FS4', 'H2ED16', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2DS11'],2,72,5
89,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
90,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
91,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
92,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
93,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
94,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
95,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
96,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
97,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
98,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
99,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
100,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
101,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
102,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
103,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
104,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
105,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
106,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
107,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
108,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
109,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
110,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
111,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
112,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
113,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
114,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
115,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
116,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
117,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
118,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
119,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
120,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
121,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
122,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
123,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
124,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
125,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
126,0.7043838862559242,['H2WP6', 'H1ED20', 'H2EE12', 'H1TO9', 'H2FS12', 'H2PF17', 'H2TO26', 'H1WP5', 'H1WP14', 'H1DS7', 'H2PF34', 'H1TO3', 'H1PF36', 'H2PF35', 'H2DS10', 'H1FS9', 'H2PF25', 'H2FS14', 'S60K', 'H1EE5', 'H2PF23', 'H2FV7', 'H1WP5', 'H1PF23', 'H2GH25'],21,63,4
