curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
77,0.70260663507109,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1DS11', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H2GH22', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H1WP2', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],6,68,27
78,0.70260663507109,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1DS11', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H2GH22', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H1WP2', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],6,68,27
79,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
80,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
81,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
82,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
83,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
84,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
85,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
86,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
87,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
88,0.70260663507109,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H2FV4', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,70,29
89,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
90,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
91,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
92,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
93,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
94,0.7037914691943128,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H1FS5', 'H2GH26', 'H2FS14'],28,68,28
95,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
96,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
97,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
98,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
99,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
100,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
101,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
102,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
103,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
104,0.7061611374407583,['H1FS4', 'H1FS10', 'H2FS4', 'H1GH52', 'H1DS12', 'H1ED24', 'H2PF34', 'H2WP13', 'H1TO3', 'H1WP6', 'H2GH31', 'H1FS7', 'H2DS7', 'H2GH23', 'H1WP7', 'H2ED5', 'H1PF26', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'H2GH23', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H1ED18', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H1TO50', 'H1FS5', 'H2GH26', 'H2FS14'],26,67,28
