curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.6943127962085308,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H2PF29', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1IR12', 'H2WP14', 'S62O', 'H1ED2', 'H2ED3', 'H1FS19', 'H2GH25', 'H2PF29', 'H1FS11', 'H1FS16', 'H1ED17', 'H1PF23', 'H2FS7', 'H2TO25', 'H2WP2', 'H1PF31', 'H2DS1', 'H1FS13'],23,3,11
12,0.6943127962085308,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H2PF29', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1IR12', 'H2WP14', 'S62O', 'H1ED2', 'H2ED3', 'H1FS19', 'H2GH25', 'H2PF29', 'H1FS11', 'H1FS16', 'H1ED17', 'H1PF23', 'H2FS7', 'H2TO25', 'H2WP2', 'H1PF31', 'H2DS1', 'H1FS13'],23,3,11
13,0.6960900473933649,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],3,72,32
14,0.6960900473933649,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],3,72,32
15,0.6960900473933649,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],3,72,32
16,0.6972748815165877,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],4,71,30
17,0.6972748815165877,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],4,71,30
18,0.6972748815165877,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],4,71,30
19,0.6972748815165877,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],4,71,30
20,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1FS4', 'H2PF26', 'H2FS8', 'H2PF4', 'S62E', 'H1PF14', 'H2PF10', 'H1DS5', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2FS18', 'H1FS14', 'H2TO28', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H2GH22', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H1PF36', 'S62E', 'H2WP3', 'H2DS8', 'H2FV5', 'H2PR5', 'H2FS15', 'H2FV7', 'H2ED16', 'H2ED12', 'H1FS13', 'H2FS3', 'H2FS18', 'H1WP2', 'H1TS3', 'H1PF7', 'H2DS9', 'H1ED19', 'H2FS6'],4,70,30
