curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
14,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
15,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
16,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
17,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
18,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
19,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
20,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
21,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
22,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
23,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
24,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
25,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
26,0.716824644549763,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H1GH22', 'H2WP2'],70,51,16
27,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
28,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
29,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
30,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
