curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
61,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
62,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
63,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
64,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
65,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
66,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
67,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
68,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
69,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
70,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
71,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
72,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
73,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
74,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
75,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
76,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
77,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
78,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
79,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
80,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
81,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
82,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
83,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
84,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
85,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
86,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
87,0.7233412322274881,['H1GH17', 'H1PF10', 'H2FV7', 'H1DA2', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H1TO9', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2GH25', 'H2WP13', 'H2GH30', 'H2SE4', 'H2PF30', 'H1TO3', 'H2TO30', 'H1TO1', 'H2FS1'],86,10,22
88,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
89,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
90,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
91,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
92,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
93,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
94,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
95,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
96,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
97,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
98,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
99,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
100,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
101,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
102,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
103,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
104,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
105,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
106,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
107,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
108,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
109,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
110,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
111,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
112,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
113,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
114,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
115,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
116,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
117,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
118,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
119,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
120,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
121,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
122,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
123,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
124,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
125,0.7233412322274881,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H1WP4', 'H2PR3', 'H2WP9', 'H2WP2'],68,49,14
