curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
60,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
61,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
62,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
63,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
64,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
65,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
66,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
67,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
68,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
69,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
70,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
71,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
72,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
73,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
74,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
75,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
76,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
77,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
78,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
79,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
80,0.7316350710900474,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H2PF29', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
