curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
12,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
13,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
14,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
15,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
16,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
17,0.7274881516587678,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H1PF8', 'H1FS17', 'H2GH27', 'S45A', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H1FS13', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H1PF2', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14'],74,59,27
18,0.7280805687203792,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H1FS12', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
19,0.7280805687203792,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H1FS12', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
20,0.7280805687203792,['H2ED12', 'H2ED13', 'H2DS5', 'PA56', 'H2EE12', 'S62Q', 'H2ED16', 'H1TO1', 'H2TO11', 'H1ED17', 'H1FS15', 'H2TO28', 'H2PF28', 'H1FS12', 'PA21', 'H2PF9', 'S62E', 'H2DS12', 'H2GH26', 'H1TS3', 'H2WP13', 'H2DS1', 'H1WP2', 'H2PF16', 'H2TO25', 'H1FS13', 'H2GH27', 'H2PF23', 'H2GH45', 'H2DS4', 'H2TO26', 'H2WP6', 'S45C', 'H2PF34', 'H2DS11', 'H2DS6', 'H2DS3', 'H2ED14', 'H1GH22', 'S60O', 'S62B', 'H1PF8', 'H2FS11', 'H1PF10', 'H2PF30', 'H1TO3', 'H2SE4', 'H1ED20', 'H1ED19', 'H2ED3', 'H1RM14', 'H2PF21', 'H2FV1', 'S60M', 'H2DS10', 'H1PF32', 'H2FS12', 'H1TO3', 'H2PF33', 'H1TO12', 'H2FS16', 'H2PF15', 'H2GH22', 'H1PF16', 'H1FS7', 'H1FS2', 'H1DA6', 'H1EE5', 'H1FS17', 'H2FS5', 'S62R', 'H2FS13', 'H1WP3', 'H1FS11', 'H1GH18', 'H1FS19', 'H1GH29', 'H2TO15', 'H2FS6', 'H1GH17'],17,58,15
