curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
68,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
69,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
70,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
71,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
72,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
73,0.7292654028436019,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,18
74,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
75,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
76,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
77,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
78,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
79,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
80,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
81,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
82,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
83,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
84,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
85,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
86,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
87,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
88,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H2FS13', 'H1PF34', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H2GH23'],26,97,17
89,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
90,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
91,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
92,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
93,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
94,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
95,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
96,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
97,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
98,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
99,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
100,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
101,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
102,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
103,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
104,0.7304502369668247,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1PF30', 'H2PF17', 'H1FS8', 'H2TO11', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2PF35', 'H2PF21', 'H1GH19', 'H2PF24', 'H2FS16', 'H1FS17', 'H1PF14', 'H2FS19', 'H1GH21', 'H1FS11', 'H2PF31', 'H2WP1', 'H2GH23', 'H1DS5', 'H2GH27', 'H2PF32', 'H1FS1', 'H2WP5', 'H2DS13', 'H2PF23', 'S62H', 'H2TO26', 'H1PF2', 'H2FS10', 'H1GH52', 'H1PF15', 'H2ED5', 'H2ED11'],28,76,14
