curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
33,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
34,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
35,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
36,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
37,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
38,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
39,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
40,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
41,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
42,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
43,0.7257109004739336,['S60K', 'H2DS7', 'H2GH31', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,27,2
