curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
146,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
147,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
148,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
149,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
150,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
151,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
152,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
153,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
154,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
155,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
156,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
157,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
158,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
159,0.7298578199052133,['H2WP6', 'H1EE7', 'H2FS19', 'H1FS18', 'H1GH18', 'H1TO3', 'H2PF32', 'H1PF16', 'H2PF25', 'H1TO9'],25,57,3
160,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
161,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
162,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
163,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
164,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
165,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
166,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
167,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
168,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
169,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
170,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
171,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
172,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
173,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
174,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
175,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
176,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
177,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
178,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
179,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
180,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
181,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
182,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
183,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
184,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
185,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
186,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
187,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
188,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
189,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
190,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
191,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
192,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
193,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
194,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
195,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
196,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
197,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
198,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
199,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
200,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
201,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
202,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
203,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
204,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
205,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
206,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
207,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
208,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
209,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
210,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
211,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
212,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
213,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
214,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
215,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
216,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
217,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
218,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
219,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
220,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
221,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
222,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
223,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
224,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
225,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
226,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
227,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
228,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
229,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
230,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
231,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
232,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
233,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
234,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
235,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
236,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
237,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
238,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
239,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
240,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
241,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
242,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
243,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
244,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
245,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
246,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
247,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
248,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
249,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
250,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
251,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
252,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
253,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
254,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
255,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
256,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
257,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
258,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
259,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
260,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
261,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
262,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
263,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
264,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
265,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
266,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
267,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
268,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
269,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
270,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
271,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
272,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
273,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
274,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
275,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
276,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
277,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
278,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
279,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
280,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
281,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
282,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
283,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
284,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
285,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
286,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
287,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
288,0.7328199052132701,['H2WP5', 'H2PF7', 'H1PF16', 'H1FS17', 'H1PF10', 'H1TO3', 'H1GH22', 'H2DS12', 'H1PF31', 'H1TO9'],8,50,3
