curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
12,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
13,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
14,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
15,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
16,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
17,0.7251184834123223,['H1PF26', 'H2ED5', 'H2FV4', 'H1GH22', 'H1PF24', 'H2FS12', 'H2GH27', 'H1TO3', 'H1IR12', 'H2FS7', 'H1PF15', 'H1DS5', 'H1GH20', 'H1WP2', 'H1DS9', 'S62H', 'H2GH45', 'H2FS5', 'S59E', 'H1PF5', 'H1PF16', 'H2PF8', 'H2PF17', 'H2FV2', 'H2WP2', 'H2WP5', 'H2DS8', 'H1GH21', 'H1WP14', 'H2PF21', 'S59E', 'H2ED11', 'H2DS9', 'H2DS5', 'H2PF25', 'H2FS10', 'H1TO9', 'H2PF29', 'H2WP7', 'H1FS12', 'H1WP1', 'H2FS3', 'H2PR5', 'H1GH29', 'H2FS4', 'H1PF36', 'H2FV5', 'H1PF1', 'H2ED12', 'H1FS10', 'H2ED15', 'H2TO11', 'H1DS8', 'H1FS13', 'H2PF10', 'H1DS11', 'H1ED20', 'H1DS10', 'H2ED13', 'S60K', 'H2FS2', 'H1ED9', 'H2EE14', 'S60M', 'H2FS18', 'PA21', 'H1ED16', 'H2PF4', 'H1FS5', 'H1DS7', 'H2PR3', 'H2GH24', 'PA56', 'S60O', 'H1ED24'],74,88,68
18,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
19,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
20,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
