curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
73,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
74,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
75,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
76,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
77,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
78,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
79,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
80,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
81,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
82,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
83,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
84,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
85,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
86,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
87,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
88,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
89,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
90,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
91,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
92,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
93,0.7257109004739336,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1PF16', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,17,71
94,0.7268957345971564,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP3', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,16,71
95,0.7268957345971564,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H1FS1', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1ED18', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H1GH22', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H2WP3', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K'],78,16,71
