curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
12,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
13,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
14,0.6978672985781991,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2FV3', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],26,66,27
15,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
16,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
17,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
18,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
19,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
20,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
21,0.6990521327014217,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1DS13', 'H2PF7', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2WP1', 'S60K', 'H1TO9', 'H2DS2', 'H1SE4', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14', 'H1PF31', 'H2ED15', 'H2PF1', 'H2PF17', 'H2GH27', 'H1PF33', 'H2FS6', 'S60O', 'H2TO11', 'H2WP5', 'H2PF9', 'H2DS1', 'H1DS14', 'H2GH45', 'H2DS11', 'H1PF10', 'H2PR3', 'H2WP14', 'H2GH26', 'PA21', 'H1FS12', 'H2TO1', 'H1FS6', 'H2FS9', 'H2EE14', 'H2PF8', 'H2PF22', 'H2DS6', 'H1GH28', 'H2FS8', 'H2DS9', 'H2EE12', 'H2PF10', 'H2PF21', 'H2FS7', 'H1FS9', 'H1ED19', 'H2DS3', 'H1RM14', 'H1FS15', 'H1PF30', 'H2WP6', 'H2TO26', 'H2ED16', 'H2ED13', 'H1PF35', 'H2PF16', 'H1PF16', 'H1RM14', 'H2WP3', 'H2FS4', 'H2GH25', 'H1FS2', 'H1WP3', 'S62O'],25,66,28
22,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
23,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
24,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
25,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
26,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
27,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
28,0.7008293838862559,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H2FS14', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1WP14', 'H1PF16', 'H2PF27', 'H1ED15', 'H1TO3', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H1ED9', 'H2SE4', 'H2PF14', 'H2FS9', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],23,67,75
