curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
101,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
102,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
103,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
104,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
105,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
106,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
107,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
108,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
109,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
110,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
111,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
112,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
113,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
114,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
115,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
116,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
117,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
118,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
119,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
120,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
121,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
122,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
123,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
124,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
125,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
126,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
127,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
128,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
129,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
130,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
131,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
132,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
133,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
134,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
135,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
136,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
137,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
138,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
139,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
140,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
141,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
142,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
143,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
144,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
145,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
146,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
147,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
148,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
149,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
150,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
151,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
152,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
153,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
154,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
155,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
156,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
157,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
158,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
159,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
160,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
161,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
162,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
163,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
164,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
165,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
166,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
167,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
168,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
169,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
170,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
171,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
172,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
173,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
174,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
175,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
176,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
177,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
178,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
179,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
180,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
181,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
182,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
183,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
184,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
185,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
186,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
187,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
188,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
189,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
190,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
191,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
192,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
193,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
194,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
195,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
196,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
197,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
198,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
199,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
200,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
201,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
202,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
203,0.7274881516587678,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H1TO3', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,91,6
