curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
23,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
24,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
25,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
26,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
27,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
28,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
29,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
30,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
31,0.7221563981042654,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'PC40'],83,30,15
32,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
33,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
34,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
35,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
36,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
37,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
38,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
39,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
40,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
41,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
42,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
43,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
44,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
45,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
46,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
47,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
48,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H2ED3', 'H1ED9', 'H1PF34', 'S62M', 'H1FS19', 'H1TO3', 'H1TO9', 'H2PF26'],84,42,4
49,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
50,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
51,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
52,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
53,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
54,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
55,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
56,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
57,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
58,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
59,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
60,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
61,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
62,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
63,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
64,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
65,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
66,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
67,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
68,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
69,0.7239336492890995,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],90,92,9
70,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
71,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
72,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
73,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
74,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
75,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
76,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
77,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
78,0.7268957345971564,['H1FS16', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H2FS5', 'H2PF33', 'H1FS16', 'H2PF10', 'H1TO3', 'H1TO50', 'H2PF32', 'H1FS6', 'S62H'],91,93,8
