curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
44,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
45,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
46,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
47,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
48,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
49,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
50,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
51,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
52,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
53,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
54,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
55,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
56,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
57,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
58,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
59,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
60,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
61,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
62,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
63,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
64,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
65,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
66,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
67,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
68,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
69,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
70,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
71,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
72,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
73,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
74,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
75,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
76,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
77,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
78,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
79,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
80,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
81,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
82,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
83,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
84,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
85,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
86,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
87,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
88,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
89,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
90,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
91,0.7257109004739336,['H1WP5', 'H1ED15', 'H2TO25', 'H2PF8', 'H1DS7', 'H2PF32', 'H1PF1', 'H1PF23', 'S62R', 'H2FS18', 'H2GH23', 'H2TO26', 'H2GH31', 'H1ED16', 'H1TO9', 'H1TO3', 'H1WP7', 'H2GH26', 'H1PF31', 'H2DS2', 'S45A', 'H1GH20', 'H2GH25', 'S59E', 'H2DS6', 'H2GH24', 'H2DS12', 'H1PF34', 'H1GH21', 'H2SE4', 'H2GH22', 'H2FS4', 'H2FV7', 'H2PF1', 'H1DS12'],85,30,27
