curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
11,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
12,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
13,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
14,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
15,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
16,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
17,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
18,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
19,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
20,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
21,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
22,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
23,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
24,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
25,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
26,0.7227488151658767,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H2WP6', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'S60K', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1DS6', 'S59E', 'H2DS1', 'H1PF36', 'H2PF15', 'H1GH29', 'S62B', 'H1WP14'],81,37,28
27,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
28,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
29,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
30,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
31,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
32,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
33,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
34,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
35,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
36,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
37,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
38,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
39,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
40,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
41,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
42,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
43,0.7233412322274881,['H2WP2', 'H2TO29', 'S60K', 'H1PF10', 'H1IR12', 'H2PF21', 'H2PF15', 'H2PF26', 'H1PF31', 'H1FS14', 'H2FV7', 'H2PF14', 'H2EE14', 'H2FS15', 'H2FS13', 'S60M', 'H2TO11', 'H2PF10', 'H2FV5', 'S62P', 'H2FV1', 'H2FS7', 'H2FS3', 'H1DS11', 'H1ED24', 'H2DS6', 'H2DS8', 'H2GH23', 'PA56', 'H1GH18', 'H2GH27', 'H1TO3', 'H1PF16', 'H1RF14', 'H2TO25'],38,31,26
