curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
70,0.7292654028436019,['H1PF35', 'H1DS10', 'H1RF14', 'H2GH45', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2PF10', 'S60M', 'H2FV3', 'H1PF26', 'H2PR3', 'H2FS8', 'H1FS7', 'H2TO29', 'H2GH30', 'S45A', 'H1PF34', 'H2ED13', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'H2ED11', 'H2FS4', 'S62H', 'H2FV6', 'H1FS19', 'H2WP9', 'H2PF5', 'H2GH27', 'H1FS15', 'PA21', 'H2TO15', 'H2DS12', 'H2TO25', 'H1WP14', 'H2DS8', 'H2ED16', 'H1FS12', 'S60O', 'H1ED9', 'H2DS2', 'H1WP2', 'H2FS16', 'H1PF15', 'H1ED2', 'H1PF5', 'H1PF10', 'H1TO12', 'H2DS3', 'H2PF33', 'H1PF7', 'H1FS4', 'H2PF28', 'H2PF31', 'H2DS7', 'H2PR5', 'H1DS13', 'H1DS14', 'H1WP7', 'H2EE14', 'H1PF32', 'H1RM14', 'H2FV1', 'H2GH22', 'H2FS19', 'H1ED24', 'H2ED17', 'H2SE4', 'H2PF8', 'S62R', 'H1WP6', 'H2PF29', 'H2PF27', 'H1TS3', 'H2FS18', 'H1PF2', 'H2WP13', 'H2FS13', 'H1DS12', 'H2GH23', 'S62E', 'H1TO3', 'H2DS13', 'H1FS10', 'H2FV5'],13,12,32
71,0.7292654028436019,['H1PF35', 'H1DS10', 'H1RF14', 'H2GH45', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2PF10', 'S60M', 'H2FV3', 'H1PF26', 'H2PR3', 'H2FS8', 'H1FS7', 'H2TO29', 'H2GH30', 'S45A', 'H1PF34', 'H2ED13', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'H2ED11', 'H2FS4', 'S62H', 'H2FV6', 'H1FS19', 'H2WP9', 'H2PF5', 'H2GH27', 'H1FS15', 'PA21', 'H2TO15', 'H2DS12', 'H2TO25', 'H1WP14', 'H2DS8', 'H2ED16', 'H1FS12', 'S60O', 'H1ED9', 'H2DS2', 'H1WP2', 'H2FS16', 'H1PF15', 'H1ED2', 'H1PF5', 'H1PF10', 'H1TO12', 'H2DS3', 'H2PF33', 'H1PF7', 'H1FS4', 'H2PF28', 'H2PF31', 'H2DS7', 'H2PR5', 'H1DS13', 'H1DS14', 'H1WP7', 'H2EE14', 'H1PF32', 'H1RM14', 'H2FV1', 'H2GH22', 'H2FS19', 'H1ED24', 'H2ED17', 'H2SE4', 'H2PF8', 'S62R', 'H1WP6', 'H2PF29', 'H2PF27', 'H1TS3', 'H2FS18', 'H1PF2', 'H2WP13', 'H2FS13', 'H1DS12', 'H2GH23', 'S62E', 'H1TO3', 'H2DS13', 'H1FS10', 'H2FV5'],13,12,32
72,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
73,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
74,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
75,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
76,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
77,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
78,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
79,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
80,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
81,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
82,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
83,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
84,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
85,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
86,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
87,0.7298578199052133,['H1GH52', 'H1FS19', 'H1WP10', 'H1FS3', 'H2PF23', 'H1DA2', 'H2ED16', 'H1TO1', 'H1PF15', 'H2TO28', 'H2FV4', 'H2DS3', 'H1FS17', 'H2GH27', 'H1PF25', 'H1PF33', 'H1FS1', 'H1WP3', 'H2GH30', 'H2FV2', 'H2FS15', 'H2PF32', 'H1PF26', 'H1FS9', 'H1PF30', 'H2PF13', 'H1DA6', 'H1DS7', 'S60M', 'H2FS2', 'H1RM14', 'H2FS10', 'H2DS4', 'H1SE4', 'H1EE5', 'H2WP5', 'H1TO3', 'H2GH31', 'H1ED9', 'H2PF30', 'H1PF14', 'H1FS15', 'H2FV7', 'H2ED5', 'H1ED2', 'H1PF23', 'H2WP1', 'H1PF24', 'H2PF12', 'H2PF22', 'H1FS10', 'S60N', 'H2PF33', 'H2FS12', 'H1WP7', 'H2PF7', 'H1ED15', 'H1DS6', 'H1GH20', 'H1PF32', 'H2PF35', 'S60L', 'H2DS13', 'H2ED17', 'H1DS12', 'H2PF25', 'H1FS11', 'S60O', 'H2FS7', 'H2TO11', 'H1GH17', 'H2FV6', 'H2SE4', 'H1PF7', 'H2PF29', 'H1EE7', 'H1FS2', 'H2FS9', 'H1IR3', 'H1DS14', 'H1GH22', 'H1PF5', 'H2FS11', 'H1DS10', 'H2DS7', 'H2GH25', 'PA56', 'H2ED13', 'H2ED15', 'H2PF9', 'H1GH29', 'H2PR3', 'H1GH18', 'H1PF16', 'H1FS12'],73,58,27
