curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7227488151658767,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'S59E', 'H2TO30'],86,39,21
11,0.7233412322274881,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],86,40,21
12,0.7239336492890995,['H1FS17', 'H1PF7', 'H2PF24', 'H2PF8', 'H1ED15', 'H1FS10', 'H2EE12', 'H2PF10', 'S59E', 'H2TO25', 'H2PF13', 'H1FS8', 'H1DS6', 'H1PF8', 'H1TO1', 'H1FS15', 'H1PF32', 'H1PF35', 'H1TO9', 'H1FS4', 'H2GH25', 'H1PF10', 'H1WP2', 'H1WP14', 'H1TO3', 'H2PF23', 'H1DS11', 'H2TO27', 'H2PF31', 'H2WP7'],31,94,25
13,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
14,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
15,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
16,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
17,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
18,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
19,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
20,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
21,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
22,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
23,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
24,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
25,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
26,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
27,0.7239336492890995,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS3', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H1PF26', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'H2FS1', 'H2TO30'],87,40,21
28,0.7245260663507109,['H2PR5', 'H1TO3', 'H2WP9', 'H2TO30', 'S60O', 'H1GH19', 'H1DS14', 'H1FS14', 'H1GH22', 'H2TO25', 'H1PF14', 'H2PF10', 'H2TO11', 'H1FS4', 'H1PF14', 'H2WP2', 'H2TO28', 'H1WP2', 'H2PF22', 'S60N', 'H2FS8', 'H1IR12', 'H1RM14', 'H2TO26', 'H2PF13', 'H2PR3', 'H1GH52', 'H1PF4', 'H1WP1', 'H1DS11'],51,4,24
29,0.7245260663507109,['H1FS17', 'H1PF7', 'H2PF24', 'H2PF8', 'H1ED15', 'H1FS10', 'H2EE12', 'H2ED12', 'S59E', 'H2TO25', 'H2PF13', 'H1FS8', 'H1DS6', 'H1PF8', 'H1TO1', 'H1FS15', 'H1PF32', 'H1PF35', 'H1TO9', 'H1FS4', 'H2GH25', 'H1PF10', 'H1WP2', 'H1WP14', 'H1TO3', 'H2PF23', 'H1DS11', 'H2TO27', 'H2PF31', 'H2WP7'],31,95,23
30,0.7245260663507109,['H1FS17', 'H1PF7', 'H2PF24', 'H2PF8', 'H1ED15', 'H1FS10', 'H2EE12', 'H2ED12', 'S59E', 'H2TO25', 'H2PF13', 'H1FS8', 'H1DS6', 'H1PF8', 'H1TO1', 'H1FS15', 'H1PF32', 'H1PF35', 'H1TO9', 'H1FS4', 'H2GH25', 'H1PF10', 'H1WP2', 'H1WP14', 'H1TO3', 'H2PF23', 'H1DS11', 'H2TO27', 'H2PF31', 'H2WP7'],31,95,23
31,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
32,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
33,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
34,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
35,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
36,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
37,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
38,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
39,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
40,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
41,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
42,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
43,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
44,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
45,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
46,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],46,5,14
47,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
48,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
49,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
50,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
51,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
52,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
53,0.7286729857819905,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'H2ED14', 'H2TO15', 'H1GH19', 'H1ED19', 'H2ED13', 'H2FS2', 'S62O', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H2TO11', 'H1EE5', 'H1PF10', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9'],45,3,15
