curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
71,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
72,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
73,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
74,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
75,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
76,0.7031990521327014,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H1PF10', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,19
77,0.7043838862559242,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,18
78,0.7043838862559242,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,18
79,0.7043838862559242,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H1ED19', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,18
80,0.7049763033175356,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1PF10', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,16
81,0.705568720379147,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,14
82,0.705568720379147,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H2FS6', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,67,14
83,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
84,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
85,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
86,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
87,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
88,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
89,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
90,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
91,0.7067535545023697,['H1TO9', 'H2PF25', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,66,12
92,0.707345971563981,['H1TO9', 'H1DA2', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,64,12
93,0.707345971563981,['H1TO9', 'H1DA2', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,64,12
94,0.707345971563981,['H1TO9', 'H1DA2', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,64,12
95,0.707345971563981,['H1TO9', 'H1DA2', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,64,12
96,0.707345971563981,['H1TO9', 'H1DA2', 'S62Q', 'H1FS7', 'H2TO1', 'H2FS7', 'H1ED16', 'H2SE4', 'H2GH45', 'H1WP4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1FS1', 'H2FS16', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15', 'H1WP1', 'H2WP10', 'H1FS14', 'H2FS19', 'H1PF33', 'H1SE4', 'H2PF34', 'H1WP5', 'H2TO26', 'H2DS7', 'H1PF31', 'H2TO11', 'H2PF32', 'H1PF5', 'H1ED7', 'H2PF21', 'H2FS3', 'S62E', 'H2WP3', 'H1PF14', 'H2FV5', 'H2PR5', 'H2DS13', 'H2PR4', 'H2ED16', 'H2GH27', 'H1FS13', 'H2PF13', 'H2FS18', 'H1WP2', 'H1TS3', 'S62O', 'H2DS9', 'H2PF5', 'H1DA2', 'H2PF30', 'H1FS19', 'H2PF33', 'H2PF1', 'H1ED16'],2,64,12
