curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
32,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
33,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
34,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
35,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
36,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
37,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
38,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
39,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
40,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
41,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
42,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
43,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
44,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
