curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
133,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
134,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
135,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
136,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
137,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
138,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
139,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
140,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
141,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
142,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
143,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
144,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
145,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
146,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
147,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
148,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
149,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
150,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
151,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
152,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
153,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
154,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
155,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
156,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
157,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
158,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
159,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
160,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
161,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
162,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
163,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
164,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
165,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
166,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
167,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
168,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
169,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
170,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
171,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
172,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
173,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
174,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
175,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
176,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
177,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
178,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
179,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
180,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
181,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
182,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
183,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
184,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
185,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
186,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
187,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
188,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
189,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
190,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
191,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
192,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
193,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
194,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
195,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
196,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
197,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
198,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
199,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
200,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
201,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
202,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
203,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
204,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
205,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
206,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
207,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
208,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
209,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
210,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
211,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
212,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
213,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
214,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
215,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
216,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
217,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
218,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
219,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
220,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
221,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
222,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
223,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
224,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
225,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
226,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
227,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
228,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
229,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
230,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
231,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
232,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
233,0.7037914691943128,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS8', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],20,66,2
234,0.7043838862559242,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],18,66,3
235,0.7043838862559242,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],18,66,3
236,0.7043838862559242,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],18,66,3
237,0.7043838862559242,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF17', 'H1TO50', 'S62E'],18,66,3
238,0.7043838862559242,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1ED24', 'H1RF14', 'H2PF10'],5,62,2
239,0.7043838862559242,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1ED24', 'H1RF14', 'H2PF10'],5,62,2
240,0.7043838862559242,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1ED24', 'H1RF14', 'H2PF10'],5,62,2
241,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
242,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
243,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
244,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
245,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
246,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
247,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
248,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
249,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
250,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
251,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
252,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
253,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
254,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
255,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
256,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
257,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
258,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
259,0.705568720379147,['H2FS1', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
260,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
261,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
262,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
263,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
264,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
265,0.7061611374407583,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H1GH29', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],18,64,2
266,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
267,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
268,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
269,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
270,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
271,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
272,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
273,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
274,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
275,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
276,0.7067535545023697,['H2PR4', 'H1TO9', 'H2PF30', 'H1DA6', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],16,63,3
277,0.707345971563981,['H2PR4', 'H1TO9', 'H2PF30', 'H2PF34', 'H2FS3', 'H2GH25', 'H2TO1', 'H2PF26', 'H1TO50', 'S62E'],15,64,2
