curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
101,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
102,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
103,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
104,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
105,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
106,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
107,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
108,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
109,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
110,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
111,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
112,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
113,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
114,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
115,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
116,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
117,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
118,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
119,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
120,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
121,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
122,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
123,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
124,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
125,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
126,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
127,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
128,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
129,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
130,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
131,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
132,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
133,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
134,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
135,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
136,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
137,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
138,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
139,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
140,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
141,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
142,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
143,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
144,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
145,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
146,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
147,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
148,0.7292654028436019,['H1FS10', 'H2TO15', 'H1FS2', 'H2FS9', 'H1TO3', 'H1PF26', 'H1PF14', 'H1DS11', 'H2TO11', 'H2DS7', 'H2TO30', 'H2FS12', 'S62Q', 'H1PF16', 'H2FS7'],70,57,7
149,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
150,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
151,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
152,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
153,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
154,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
155,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
156,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
157,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
158,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
159,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
160,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
161,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
162,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
163,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
164,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
165,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
166,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
167,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
168,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
169,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
170,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
171,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
172,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
173,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
174,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
175,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
176,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
177,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
178,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
179,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
180,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
181,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
182,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
183,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
184,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
185,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
186,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
187,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
188,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
189,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
190,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
191,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
192,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
193,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
194,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
195,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
196,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
197,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
198,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
199,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
200,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
201,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
202,0.7304502369668247,['H1DS11', 'H1TO3', 'H1PF16', 'H2PF26', 'H1DS13', 'H2TO15', 'H2FS10', 'H2ED5', 'H1FS19', 'H1TO12', 'H2FV5', 'H2WP2', 'H1GH22', 'H2PR4', 'H1FS15'],86,14,8
