AID	CLUSTER2	GSWGT2
57101310	108	2887.49192185
57103869	167	7810.993406725
57104649	278	655.604899727
57104676	278	2213.715732188
57109625	224	6880.76850011
57110897	256	2829.071142162
57111071	185	3346.290003921
57111786	154	3440.603912494
57113943	167	7222.821816105
57116359	136	2665.845567623
57117997	278	755.360011991
57118381	294	6151.237727379
57118943	187	4125.477079614
57120005	274	5130.805551165
57120046	111	1219.910567077
57121404	187	4125.477079614
57121476	286	4770.723583997
57123494	141	1746.282400654
57127241	179	2272.089556675
57129567	228	500.923002145
57130838	140	4542.478050768
57131432	145	4424.170280103
57131909	108	3420.646228176
57133772	248	4841.71123188
57134457	240	3388.991625334
57134967	267	3239.705124241
57134970	253	3915.08825998
57135078	109	2186.035295356
57136630	179	1804.106409265
57138056	240	4961.281372275
57139880	228	4700.425443463
57141051	172	5528.587462445
57144659	165	3675.559039162
57145151	129	1186.301555297
57145199	265	21104.578445974
57146734	271	4702.482963603
57153160	161	10320.584149984
57154247	141	1888.100866836
57154249	141	2036.934629378
57154779	267	3239.705124241
57159779	278	5164.509791102
57159952	187	4125.477079614
57160648	168	5029.104605003
57163116	108	2772.305363752
57163657	250	5835.642942854
57164981	179	1948.631884038
57165081	179	2306.535489839
57165288	194	6624.737942237
57166019	210	13787.388842217
57166450	278	1022.45041833
57166463	278	655.604899727
57167951	114	4393.321033682
57169110	108	2461.2670658
57171515	240	2432.368738419
57177419	240	4961.281372275
57177942	189	2291.106682094
57178110	108	3420.646228176
57179591	189	2399.895128832
57186150	187	4125.477079614
57186582	141	1880.688552861
57191424	248	4830.178073144
57191909	108	3871.203219195
57192841	187	4506.200726996
57193349	142	3184.310675798
57194529	187	4506.200726996
57196641	145	3914.819567835
57197327	168	5029.104605003
57199320	193	909.411112896
57203993	172	5528.587462445
57207032	110	6086.007556663
57210612	178	357.914826287
57211108	108	2461.2670658
57211375	187	4506.200726996
57212347	165	8274.364639672
57213527	177	3292.71435239
57214806	165	2572.844798255
57214893	167	1161.012919934
57217465	186	5489.642252646
57217613	210	13787.388842217
57218874	107	3265.730467904
57220241	243	3623.524819772
57220955	187	4125.477079614
57225699	140	1109.773067999
57228523	167	3225.438372806
57229751	140	3500.7978307
57230940	273	6962.623667561
57231300	187	4004.933994962
57231320	187	4125.477079614
57231603	179	1657.29260399
57232895	145	3914.819567835
57233403	174	3386.626913539
57234514	108	3871.203219195
57235039	115	4598.042042092
57239363	115	4337.723372943
57239974	215	3709.805475226
57241075	109	2186.035295356
57241170	253	4888.381809765
57242812	120	3696.973798436
57242885	108	3871.203219195
57244606	167	3283.437517359
57245293	240	3131.116721056
57245379	150	5102.988249991
57245533	154	3190.73520326
57247222	109	2915.723862834
57248884	115	4393.776049091
57249576	115	3394.517139025
57251197	278	2327.416033907
57253279	240	2627.827524193
57256290	174	4017.884390776
57258521	136	2098.958624356
57258682	240	4961.281372275
57258751	142	434.684570986
57260813	218	3116.469307082
57262270	109	2447.616698085
57263479	228	4700.425443463
57263513	159	5630.523446631
57265490	187	3044.538581457
57268298	185	2480.206032059
57268950	159	8033.388802061
57270588	168	1389.733187338
57272130	176	2928.268823102
57272274	140	1544.812873308
57275298	220	3084.249539766
57275660	166	3538.981996654
57277289	129	1538.029868656
57277290	129	1186.301555297
57279640	240	6797.57458588
57279680	109	2447.616698085
88122937	273	6962.623667561
88149345	111	1869.414794001
88183732	161	5665.807631475
88191219	141	4168.030391313
88202138	121	5840.216166572
88239382	115	6701.481512325
88249047	120	3943.874351252
88251811	175	3068.316798063
90316053	472	4003.603410858
90316656	472	5133.72255243
90500059	142	3885.956068069
90500459	142	293.687304962
90500633	147	4148.503240498
90500638	147	3906.795291119
90500974	150	4010.699517578
90501955	132	8053.002783968
90503807	186	4178.963920899
90504220	161	5502.890303191
90504500	166	796.174892129
90504504	166	558.575968553
90504603	166	658.481838909
90504786	163	6299.450703181
90506040	179	1603.827690213
90506094	178	3849.571396459
90506203	176	3671.455478503
90506236	177	3148.404776363
90506268	174	4017.884390776
90506285	173	4759.932633893
90506397	178	357.914826287
90506428	171	3146.740694235
90506497	178	4023.890855509
90506725	171	3492.767471154
90506828	171	3146.740694235
90506849	179	2272.089556675
90506987	173	3265.157921194
90507056	192	2637.763854009
90507350	192	4024.862097779
90507957	192	3904.13623561
90508165	154	1991.240639054
90508325	151	745.578991446
90508577	160	14594.580455878
90508969	154	3288.386033101
90508987	153	1199.358406407
90540850	142	3968.87929328
90543104	186	3928.99212322
90543806	186	7363.447951174
90544204	166	796.174892129
90544989	163	5446.838367878
90546223	171	3251.742062531
90548078	160	17166.185990408
90570023	141	2171.141129433
90570180	143	761.468082159
90570190	148	3904.724005818
90570222	141	1888.100866836
90570282	143	761.468082159
90570354	142	3540.5201791
90570373	150	4253.529675539
90570412	145	3914.819567835
90570531	147	3905.923839209
90570536	147	3915.597878916
90570626	141	3979.119336183
90570628	141	1542.279226063
90570720	141	2035.415272306
90570778	150	5102.988249991
90570820	141	3972.611531462
90570992	148	4258.748167806
90571004	136	2946.349843259
