AID	PTNR_ID	H4TR13	H4TR14	H4TR15	H4TR16	H4TR17	H4TR18	H4TR19	H4TR20	H4TR21	H4TR22	H4TR23	H4TR24
57186582	1	2	1	7	7	1	97	2	30	7	97	0	1
57186582	2	5	7	7	7	97	97	2	29	7	97	0	1
57188247	1	2	0	7	7	1	1	1	31	7	97	0	2
57188247	2	2	1	7	7	1	0	1	29	7	97	0	2
57188247	3	3	0	7	7	97	1	1	34	7	97	0	2
57191909	1	1	1	1	1	1	5	1	31	7	97	0	1
57191910	1	1	1	1	1	2	2	1	28	7	97	0	1
57191910	2	2	1	7	7	1	0	1	29	7	97	0	1
57192841	1	1	1	1	1	1	97	1	32	7	97	0	1
57193349	1	2	0	7	7	1	0	2	28	7	97	1	1
57193349	2	2	0	7	7	1	0	2	28	7	97	1	1
57193349	3	2	0	7	7	1	0	2	30	7	97	1	1
57193349	4	2	1	7	7	1	1	2	27	7	97	0	2
57193349	5	3	0	7	7	97	0	2	27	7	97	0	2
57196641	1	1	1	1	1	2	2	2	27	7	97	1	1
57196641	2	2	0	7	7	1	0	2	25	7	97	0	1
57197327	1	2	0	7	7	1	97	2	98	8	97	0	1
57197327	2	2	1	7	7	2	97	2	27	7	97	0	1
57198440	1	2	0	7	7	2	4	2	25	7	97	0	2
57198440	2	2	0	7	7	2	0	2	41	7	97	0	2
57198440	3	2	0	7	7	1	1	2	26	7	97	1	5
57198440	4	3	0	7	7	97	1	2	27	7	97	0	2
57198440	5	3	0	7	7	97	1	2	28	7	97	0	2
57199896	1	1	0	1	1	1	1	1	24	7	97	0	2
57199896	2	3	0	7	7	97	1	1	28	7	97	0	2
57199896	3	4	7	7	7	97	97	1	25	7	97	0	2
57200870	1	2	0	7	7	1	1	1	40	7	97	0	1
57200870	2	2	0	7	7	1	1	1	36	7	97	0	1
57200870	3	2	0	7	7	2	0	1	36	7	97	0	1
57200870	4	2	0	7	7	1	0	1	27	7	97	0	1
57200870	5	2	0	7	7	1	0	1	30	7	97	0	1
57200870	6	2	0	7	7	1	0	1	37	7	97	0	1
57200870	7	5	7	7	7	97	97	1	40	7	97	0	1
57203993	1	4	7	7	7	97	97	2	30	7	97	0	1
57210612	1	2	0	7	7	1	0	2	28	7	97	0	2
57210612	2	2	0	7	7	1	1	2	35	7	97	0	2
57210612	3	2	0	7	7	1	0	2	28	7	97	0	2
57210612	4	5	7	7	7	97	97	2	22	7	97	0	2
57211375	1	2	0	7	7	1	97	1	28	7	97	0	1
57211375	2	2	0	7	7	1	97	1	27	7	97	0	1
57212347	1	3	0	7	7	97	1	1	31	7	97	0	1
57212347	2	4	7	7	7	97	97	1	21	7	97	0	1
57212679	1	1	1	1	1	1	1	2	27	7	97	0	1
57212861	1	4	7	7	7	97	97	1	18	7	97	1	2
57212861	2	4	7	7	7	97	97	2	19	7	97	1	2
57213037	1	1	1	1	1	1	3	2	30	7	97	1	5
57213527	1	2	1	7	7	1	97	2	23	7	97	1	5
57214806	1	1	0	1	0	97	1	1	30	7	97	0	1
57214806	2	1	0	1	1	1	0	1	38	7	97	0	1
57214806	3	2	0	7	7	1	0	1	47	7	97	0	2
57214806	4	2	0	7	7	1	0	1	38	7	97	0	1
57214806	5	3	0	7	7	97	1	1	35	7	97	0	2
57214893	1	1	1	1	1	1	1	2	24	7	97	0	5
57217465	1	1	1	1	1	1	2	1	32	7	97	1	1
57217613	1	1	1	1	1	1	4	2	26	7	97	0	1
57217613	2	2	0	7	7	1	0	2	26	7	97	0	1
57218874	1	4	7	7	7	97	97	2	22	7	97	0	2
57220133	1	2	0	7	7	1	97	2	29	7	97	0	1
57220133	2	5	7	7	7	97	97	2	98	2	98	0	1
57220692	1	1	1	1	0	97	97	2	34	7	97	0	1
57220955	1	1	1	1	1	1	1	1	27	7	97	1	1
57228523	1	1	1	1	1	1	3	2	28	7	97	0	1
57230663	1	1	1	1	0	97	2	1	32	7	97	1	1
57230940	1	1	1	1	1	1	97	2	24	7	97	0	1
57231300	1	1	1	1	1	1	97	1	32	7	97	0	4
57231320	1	2	0	7	7	1	1	1	31	7	97	0	1
57231320	2	2	0	7	7	1	0	1	29	7	97	0	1
57231320	3	2	1	7	7	1	0	1	35	7	97	0	1
57231603	1	5	7	7	7	97	97	2	26	7	97	0	5
57232895	1	4	7	7	7	97	97	2	25	7	97	0	1
57233403	1	1	0	1	0	97	2	2	30	7	97	0	1
57233403	2	1	1	1	1	2	0	2	28	7	97	0	1
57233403	3	4	7	7	7	97	97	2	24	7	97	0	1
57234514	1	1	0	1	1	5	3	1	27	7	97	0	1
