AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
91579939	107	5261.345965955	3454.244897854	4769.493283773
91579942	109	 	3058.407891434	3700.943058612
91579946	109	 	2364.399858792	 
91579962	104	3546.792610263	2559.585568686	3231.87488137
91579964	104	3209.218961516	2489.85728493	3114.643695741
91579967	104	 	3314.323902044	4444.8439978
91579980	103	 	3977.505915275	 
91579987	103	5280.9264248	4527.674358957	4938.214653999
91579992	108	4666.074132563	3703.069480181	4359.295102352
91579993	108	 	4710.216599527	5699.777154449
91579994	108	 	3574.166089007	 
91579995	108	4760.991219438	3658.28160948	4576.263796796
91579997	108	4666.074132563	3703.069480181	4359.295102352
91608077	360	 	5668.87860077	 
91608475	360	 	5830.824880745	7055.811923851
91608476	360	6375.505855163	4489.594197124	5705.928567727
91614079	370	 	5735.376087071	 
91614578	370	 	3488.446363987	4221.327505824
91614772	370	 	3488.446363987	4221.327505824
91614777	370	 	4771.10366836	 
91614874	370	5022.838932544	3980.398774776	4639.216911035
91614974	370	6367.029489453	4771.10366836	5822.513688502
91614978	370	6461.752259244	4764.564022113	6016.003126496
91619061	304	 	6429.598047366	 
91619063	304	8047.86018748	6030.626264028	7359.59778141
91619064	304	7700.303720713	6281.578952837	7210.946340202
91619169	304	 	6621.15461427	 
91619268	304	5713.119043377	3769.932124503	4928.105656264
91619467	304	7981.470440081	6334.2198932	7456.715005062
91619660	304	10364.260156584	8161.38006963	9815.349946246
91619665	304	8979.680111127	6621.15461427	8360.237510838
91619862	304	10364.260156584	8161.38006963	9815.349946246
91624978	370	 	3980.398774776	 
91646122	371	 	6847.796135459	8242.475104135
91646126	371	 	3635.822907624	 
91676253	372	5103.38998021	4020.085850735	4864.658133395
91676357	372	3385.660790907	2384.162666555	3030.087190936
91676522	371	5389.696620841	3974.085291343	5017.900783098
91676652	372	4203.025295303	3330.729286854	3882.016980703
91676958	372	6074.201816944	4712.640622349	5895.19587871
91678173	360	7045.107261039	5279.218064377	6442.60145682
91678373	360	7032.91737755	5456.455535378	6825.658216325
91678572	360	1492.277779555	1093.862474502	1344.11020516
91678674	360	5659.107543742	4172.735059845	5268.727012495
91710018	245	6127.312449437	5253.334970991	5729.673487846
91710037	247	6705.773980372	5470.284059612	6279.619362534
91710130	247	6813.250060634	5841.43294552	6371.096391872
91710173	250	 	7239.277546578	 
91710183	243	 	3657.674123376	 
91710214	245	3171.449967555	2560.351157016	2925.393607957
91710232	247	 	6861.337456982	 
91710252	242	3961.045078092	3197.801148508	3653.728127772
91710287	243	2201.677859969	1519.388597633	1986.165080636
91710293	248	6801.358422322	5171.612579033	6371.445470258
91710339	247	6705.773980372	5470.284059612	6279.619362534
91710454	242	8176.898733702	7010.575750214	7646.249521941
91710655	242	9690.260659859	7368.274219773	9077.740585504
91710852	242	 	5081.347224968	 
91710915	245	10222.900641946	7697.409774395	9257.352306932
91710973	250	8443.6487833	7239.277546578	7895.68852145
91710996	248	6122.149940824	4994.188490377	5733.084864069
91710998	248	6122.149940824	4994.188490377	5733.084864069
91711065	234	4920.779136241	4014.161489581	4608.061654499
91711167	234	10741.31734231	8167.476029576	10062.360116275
91711277	240	 	4878.900479947	 
91711476	240	9758.173338907	7419.913619351	9141.360513234
91711865	234	6039.085446494	5177.692345652	5647.172077342
91712211	215	8109.260012171	6166.113955699	7596.674776338
91712217	215	4918.740663624	4012.498590669	4606.152727632
91712273	220	3942.854953821	3452.196133296	3799.51523953
91712274	220	8883.413770469	6754.764496653	8321.894379587
91712298	218	 	4635.999936571	 
91712314	215	7680.769086917	6585.212224997	7182.31677701
91712371	220	4659.931835	3499.805610329	4300.471536938
91712372	220	 	3599.547504099	4760.354208202
91712375	220	1733.602777002	1517.868872563	1670.578869285
91712378	220	 	4647.87399997	 
91712842	219	6862.163547057	5597.859989881	6426.070309722
91712901	216	24561.262692525	21057.933849316	22967.331409761
91712902	216	23323.485316637	19026.303349267	21841.268498585
91712905	216	28007.209909807	22054.394747957	26523.896749937
91712908	216	24561.262692525	21057.933849316	22967.331409761
91712909	216	24561.262692525	21057.933849316	22967.331409761
91712918	215	4918.740663624	4012.498590669	4606.152727632
91712946	219	10142.415607033	7986.687649919	9605.254690568
91712998	218	 	3370.750511323	 
91713006	286	9480.755174921	7444.678433454	8898.182239163
91713031	287	6796.435689779	5351.881749885	6436.48400122
91713039	287	7737.291336163	5883.27665109	7248.218190364
91713106	286	 	591.948547389	676.345700482
91713190	288	5354.302705869	4590.584515173	5006.829097239
91713298	288	7172.765768616	5648.224446674	6792.882949459
91713604	286	 	775.659158038	 
91713997	288	3974.780815864	2622.849930452	3428.624482064
91713998	288	5738.906826556	4681.555123211	5374.197002957
91714043	269	5960.352845257	5110.189875222	5573.548918468
91714046	269	5960.352845257	5110.189875222	5573.548918468
91714099	268	7501.467346425	5907.061880842	7104.175889364
91714128	261	7287.476464575	6248.017426489	6814.547329998
91714144	269	7645.666456212	5813.606983314	7162.384906764
91714212	265	8463.5549003	6104.393870976	8072.980567457
91714231	267	10576.09044816	8328.186719954	10015.961317403
91714235	267	4555.379156837	3988.496278742	4389.77155664
91714237	267	6761.675834274	4461.846278638	5832.58508561
91714326	261	8241.232984656	6489.593431078	7804.762183778
91714332	267	7015.611286408	6014.930104822	6560.32515405
91714338	267	4334.194859989	3499.049626521	3997.927152805
91714928	261	8241.232984656	6489.593431078	7804.762183778
91714938	267	 	5560.034937771	6382.648994296
91714987	263	6689.566023956	5457.062300888	6264.441428229
91715124	221	 	1398.424948777	1828.039782238
91715256	222	 	4037.237857933	 
91715280	223	7391.917606327	5620.661594688	6924.675487588
91715282	223	 	5620.661594688	 
91715286	223	5918.131827584	4660.257694941	5604.696721054
91715365	224	 	6838.510813434	 
91715828	221	 	1398.424948777	 
91715892	228	5806.325728336	4978.132623942	5429.517567771
91715920	221	8284.948740083	5467.012706712	7146.552073897
91715921	221	 	1642.689016121	1807.956938008
91715927	221	1876.163541906	1642.689016121	1807.956938008
91715952	222	4018.347775954	3309.815917735	3799.507282791
91715958	222	4018.347775954	3309.815917735	3799.507282791
91715983	223	7391.917606327	5620.661594688	6924.675487588
91715984	223	3079.547116068	2640.291758117	2879.696377672
91715991	228	 	733.143385731	806.903593912
91716018	275	6478.266367149	5554.230103129	6057.851848973
91716080	273	8508.020143806	6699.676096953	8057.419806093
91716096	278	4355.888641783	3004.081220018	3972.857883167
91716098	278	 	5363.70290547	 
91716116	275	5322.826110841	4342.134243034	4984.5583831
91716136	277	5494.541262457	4326.699530278	5203.540288483
91716158	272	3591.516321163	3079.235544874	3358.440754629
91716161	274	4123.821240608	3364.03727045	3861.750751807
91716275	280	651.326774299	563.66967951	614.779608844
91716281	273	7128.667952618	5815.262903524	6675.638253745
91716288	273	7049.243023413	6043.764733641	6591.774320949
91716321	271	5665.397005935	4461.240601087	5365.347198694
91716484	273	7128.667952618	5815.262903524	6675.638253745
91716890	278	3510.007628607	2833.672983958	3237.684335446
91716902	276	5655.246290028	4300.132566907	5297.778931857
91716903	276	5655.246290028	4300.132566907	5297.778931857
91716908	276	5108.055415915	4379.461039669	4776.562307298
91716952	272	3591.516321163	3079.235544874	3358.440754629
91717055	292	1418.692567701	1242.146884406	1367.116998804
91717067	294	8175.174059075	6437.575053449	7742.201859948
91717169	294	4743.194178035	3829.239882678	4375.194334349
91717853	292	8139.668280487	6978.655712926	7611.435181643
91717858	292	 	6978.655712926	 
91717862	294	6793.008719596	5270.323542863	6592.819635347
91717865	294	6793.008719596	5270.323542863	6592.819635347
91717910	295	7603.396226026	5987.326204	7200.706428717
91717912	295	 	6157.771271632	 
91717916	295	7690.089970456	6214.865187486	7134.362190626
91717918	295	7603.396226026	5987.326204	7200.706428717
91718001	256	 	3037.349047383	3470.399544219
91718004	256	5288.080036327	3489.460425125	4561.469302484
91718025	251	1620.440009214	1418.788365174	1561.530054203
91718073	260	7815.854797548	6375.840586994	7319.154099899
91718077	260	8837.745854343	7142.361046103	8199.082210458
91718080	253	7318.055654209	4828.986214052	6312.515315811
91718081	253	1244.164229382	1089.337292942	1198.933515278
91718085	253	7318.055654209	4828.986214052	6312.515315811
91718105	256	 	1152.681892011	 
91718109	256	1746.824253254	1152.681892011	1506.80117421
91718142	259	7656.195744692	6245.597549521	7169.641443693
91718174	260	7815.854797548	6375.840586994	7319.154099899
91718195	258	9339.675930111	7101.696826582	8749.31626942
91718209	256	 	1425.003755411	 
91718287	253	1228.781389246	992.010557903	1133.44661226
91718294	258	7920.376786488	6236.933873966	7500.899117832
91718302	256	 	1366.623462195	1504.116936238
91718320	251	6961.826118106	4593.920016121	6005.233640343
91718368	254	8203.540321416	6459.912185538	7769.065793054
91718379	260	8312.133537312	7126.521155147	7772.70810803
91718844	259	7656.195744692	6245.597549521	7169.641443693
91718916	255	6048.072255298	4786.342011667	5896.790732736
91718949	259	7526.660917828	6453.085482535	7038.209634119
91718960	254	3752.697977415	3029.599932743	3461.545598395
91718969	254	 	1863.13176335	2463.967240327
91719273	210	19792.313936906	15049.667047148	18541.244432191
91719375	210	8118.388856757	6622.634953524	7602.461998673
91719930	207	 	2048.697141257	2254.812794183
91719931	207	 	1756.751756497	 
91719932	207	2366.910994281	2072.366617087	2280.863612461
91719934	207	2339.877388302	2048.697141257	2254.812794183
91719937	207	2630.445748193	1735.759722943	2269.008307326
92316359	472	5308.280185988	4330.268298687	4970.936857588
92374970	470	 	2659.522177407	 
92374975	470	3433.206211254	2943.506211089	3210.404360681
92374978	470	3914.885330855	3082.792850759	3707.545829728
92374979	470	3433.206211254	2943.506211089	3210.404360681
92500037	147	 	5507.493166767	 
92500081	143	6707.255244954	5049.773639632	6147.251536075
92500119	145	8718.755663128	6764.405160161	8461.815066693
92500184	143	1298.811954084	932.979393502	1146.421193927
92500219	145	5815.159024606	4357.562125377	5317.839830595
92500618	145	6897.078216022	5577.373902992	6500.516353761
92500739	147	 	5507.493166767	 
92500914	145	7099.573778884	5634.332896558	6632.800149293
92500951	142	 	4163.75785762	 
92500970	150	 	5574.972120149	6562.919974682
92500984	143	 	5778.319856797	 
92503208	186	4876.486167378	3864.420067321	4504.041916922
92504085	163	9018.08093392	7146.468119381	8329.320158497
92504100	166	1524.096577129	1158.891583198	1427.758637261
92504229	161	10233.600487282	7506.209280606	8971.72640849
92504284	163	9506.021703734	6972.539960191	8333.863146705
92504321	161	 	1771.560828233	2132.371602969
92504421	161	9108.720016043	7218.295963409	8413.036632035
92504722	161	9108.720016043	7218.295963409	8413.036632035
92504827	161	9108.720016043	7218.295963409	8413.036632035
92504901	166	9384.792894074	6879.196968851	8452.981123929
92506022	171	 	3899.85029377	4924.167552645
92506287	173	6410.396558939	5049.652212376	6110.524157404
92506525	171	 	3337.214640279	 
92506687	173	7034.155383114	5271.011326049	6432.58619629
92506889	173	 	3701.842886887	 
92506942	179	 	2122.737338544	2568.699237386
92506951	172	6455.169099486	5220.020789563	6084.015721327
92506966	174	4643.590369214	3423.944886611	4323.262956947
92506993	178	 	5618.217476745	7534.598599261
92506995	178	831.516011125	612.809534322	745.992715717
92507858	192	4897.01456427	3669.554882745	4478.216157234
92507952	192	7277.284538147	5337.791015561	6379.944766666
92507983	193	4917.160214576	3468.842672986	4803.917104467
92508223	151	 	5661.031803772	7839.827306918
92508286	153	 	7293.249912282	 
92508530	157	 	756.766991854	1026.982919252
92508625	151	5160.828212046	3634.225255145	4618.82049789
92508726	151	6027.850084205	4516.941172758	5512.341302276
92508934	157	5584.76543186	4399.279024208	5323.515288181
92540117	145	5815.159024606	4357.562125377	5317.839830595
92540351	142	 	4478.303793843	5419.142223182
92540559	142	5182.072552673	4020.486370994	5029.35754793
92540654	142	6007.586614807	4429.685617193	5593.167055526
92543208	186	5254.38556147	4248.998197342	4952.273731209
92546073	180	5683.106750807	4503.634588254	5249.056420012
92546995	178	5530.493019827	4389.085841811	5166.881290349
92570084	143	1241.548341219	874.29113153	1111.156715924
92570086	143	 	5085.296120153	 
92570236	147	5801.945113797	4347.660343323	5305.755988877
92570282	143	 	5778.319856797	 
92570284	143	6017.14922943	4237.241542457	5385.207772443
92570396	148	 	6229.449495076	8354.32263597
92570577	150	 	6058.970427711	 
92570629	141	1466.592712496	1057.789506991	1398.912703683
92570676	150	8234.523601054	6388.716015291	7991.853260565
92570678	150	7985.592993787	6058.970427711	8125.692942034
92570698	148	 	6229.449495076	8354.32263597
92570722	141	2077.753549038	1575.628195167	1936.091589234
92570856	142	 	4163.75785762	 
92570879	150	 	6388.716015291	 
92570975	150	 	4794.215841227	5801.423639004
92570978	150	 	4293.828065397	5758.4582763
92571003	136	 	1602.07213567	 
92571017	135	3413.062463233	2708.659803184	3188.664829854
92571019	135	3780.307729171	2832.75585641	3457.011395394
92571052	132	11258.365339851	8436.403233515	10295.536782109
92571106	136	 	2396.249890599	 
92571175	140	 	1704.038305603	 
92571200	136	 	1813.456641398	 
92571208	136	 	1981.041183514	2478.149037129
92571311	135	 	2832.75585641	3457.011395394
92571316	135	 	5242.200602108	 
92571476	140	 	1603.638187764	1979.333532176
92571664	134	5634.265961635	4471.441673022	5263.831502483
92571801	136	2937.454434128	2396.249890599	2750.778030262
92571819	135	 	3904.232460734	 
92572061	114	5030.715394909	3769.742972745	4600.482736626
92572101	116	 	8764.044847603	11753.471684915
92572104	116	11550.823026329	8764.044847603	11753.471684915
92572108	116	7355.787389707	5512.024760816	6726.711857896
92572119	115	7057.3332159	5288.379526277	6453.781833737
92572162	114	4938.742017343	3831.699531173	4793.197931856
92572168	114	5486.92875412	4476.002171821	5138.23223778
92572169	114	6420.329668621	5055.715488254	6080.297244155
92572171	120	 	7327.682736317	 
92572203	116	8298.814863357	6119.119572801	7726.340187794
92572209	116	 	4768.327980166	5613.329407292
92572226	111	1485.2386431	1045.896426871	1329.253834297
92572242	119	 	5276.833116759	 
92572260	114	 	4476.002171821	5138.23223778
92572267	114	 	6352.918527827	8519.907112732
92572283	113	1203.879717724	902.121616841	1100.922517694
92572290	118	4444.139455464	3259.716936026	3896.146167241
92572292	118	 	2060.74931479	2514.877463993
92572298	118	4643.484880087	3523.187018405	4724.950588632
92572300	116	6008.359271385	4768.327980166	5613.329407292
92572314	115	4672.893799626	3708.481674726	4365.666398732
92572317	115	5920.359835408	4365.369072978	5511.957415087
92572321	111	1661.803558224	1318.833319765	1552.545438977
92572323	111	3017.320486063	2340.973764421	2928.400443424
92572345	119	5800.153173121	4346.317560987	5304.117297061
92572348	119	 	4985.46874688	6032.856508242
92572382	113	1203.879717724	902.121616841	1100.922517694
92572383	113	 	555.426976972	685.550673826
92572390	118	3573.666451512	2836.117642578	3338.709634036
92572397	118	2761.899268445	2114.27758995	2580.20178652
92572408	116	5708.409216721	4523.685779558	5272.426396501
92572444	119	 	5209.41757891	6132.585051237
92572648	119	7220.65454327	5602.1105235	7007.862792167
92572665	114	5486.92875412	4476.002171821	5138.23223778
92572669	114	6420.329668621	5055.715488254	6080.297244155
92572802	116	8298.814863357	6119.119572801	7726.340187794
92572803	116	6534.913247829	4793.271588995	5729.113017026
92572842	119	5800.153173121	4346.317560987	5304.117297061
92572864	114	 	4297.402483045	4687.06321026
92572906	116	 	5301.562031316	7109.931578903
92572916	115	5376.573849439	4171.389278053	5218.126916755
92572918	115	5875.958186895	4656.461630934	5427.178724078
92572919	115	6545.728265984	4801.20426037	5738.594468263
92572963	114	5876.121046561	4498.263635652	5489.54778886
92572983	113	2014.372310718	1727.049598305	1883.647311707
92572986	113	2032.594620998	1490.881007795	1781.96157468
92572989	113	 	1879.707008568	2520.877458447
92573004	186	 	4292.391139109	 
92573010	185	4890.215130484	3850.820386516	4631.220375883
92573096	188	5725.849728599	4197.135572586	5157.332742512
92573136	187	6384.177446342	4707.364341942	5943.779633823
92573194	188	 	4320.873848054	 
92573211	185	 	4022.828894407	 
92573232	187	1062.916012049	756.382338949	1026.460919789
92573311	185	 	2248.107155173	3014.939363324
92573316	185	3742.690193381	2745.213270628	3281.190475286
92573497	188	5444.542102269	4320.873848054	5086.581362979
92573531	187	5434.21561119	4072.103966247	4969.475142975
92573610	185	 	3850.820386516	 
92573690	188	 	8853.835180774	11873.889614862
92573691	188	 	5099.426933851	6170.755956587
92573693	188	 	5249.366862958	 
92573697	188	7355.632035188	5423.665029037	6848.220659921
92573816	185	3157.631052796	2449.833051034	3064.576075988
92573818	185	3497.428887909	2578.824315865	3256.16679195
92573916	185	2563.077221383	2034.098208516	2394.563322548
92573917	185	4890.215130484	3850.820386516	4631.220375883
92573942	189	 	3357.611936196	4063.006318936
92573943	189	4570.979557898	3475.678520712	4282.048554187
92573945	189	3350.829209859	2872.879164435	3133.373309173
92573958	182	 	3192.93241449	3758.756002588
92574010	165	 	2825.482198737	3419.082444804
92574018	165	6934.385973526	5113.059832594	6456.033289946
92574090	168	 	2366.572023873	 
92574200	166	770.123158709	579.846122088	715.690659968
92574302	166	9384.792894074	6879.196968851	8452.981123929
92574314	165	3440.759903783	2726.664479838	3177.970017914
92574316	165	 	4547.879056461	 
92574614	165	3702.723547756	2787.878621816	3441.014115216
92574701	166	1202.924950859	881.762418106	1083.487085745
92574703	166	5510.053814446	4148.665444835	5120.60182365
92574739	167	6219.432283562	4558.939147189	5601.907712604
92574808	166	6473.617714256	4558.683998507	5793.736386016
92574810	165	2069.074218096	1472.375219493	1998.110670028
92575015	125	 	4255.692733808	 
92575017	125	 	5213.468305932	 
92575023	121	7154.586012187	5141.196761524	6534.065259768
92575033	127	4011.006563154	2957.510098894	3734.316491291
92575095	128	4717.035823851	3534.688658227	4313.629408977
92575180	123	7983.51616375	5855.802480728	6999.093123474
92575201	126	3617.807915983	2866.967941746	3341.495893081
92575213	125	 	5213.468305932	6308.756066245
92575217	125	 	5213.468305932	6308.756066245
92575222	121	 	2986.945470862	3636.104594832
92575231	127	 	2584.064661809	3110.356707634
92575240	129	1084.775377973	816.756111203	1008.103181159
92575244	129	1105.055230756	832.025349453	1026.949648841
92575246	129	 	2465.503240623	2967.648083852
92575247	129	 	1501.018135905	 
92575248	129	1950.588726689	1406.874771684	1860.573372674
92575249	129	1386.038863755	914.609410133	1195.589644188
92575263	124	 	4694.584689827	5680.861166212
92575292	128	 	4755.604184292	5724.169983855
92575297	128	 	3119.379624113	3774.724228045
92575324	121	4052.960739468	2986.945470862	3636.104594832
92575326	121	2778.35966596	1956.5047413	2486.566893603
92575350	122	 	3764.460371288	 
92575373	130	992.561888636	747.326132904	922.407364464
92575395	128	 	3198.316948195	 
92575400	126	4241.588126996	3111.148241807	3718.570825605
92575407	126	4241.588126996	3111.148241807	3718.570825605
92575420	121	 	5486.308236993	 
92575421	121	5727.541892288	4312.417978583	5322.717789395
92575434	127	 	3554.072218672	4921.949460191
92575526	121	2740.757049545	1950.351866119	2646.756629972
92575627	121	 	1230.25896198	 
92575771	130	 	5090.399626593	6159.832119309
92575807	126	3899.171996347	3061.790029798	3659.575884536
92575827	121	 	6755.424077839	 
92575868	124	5941.255750514	4357.831743421	5208.657615931
92575907	126	 	2822.974414463	 
92575911	125	 	3847.35516972	 
92575935	127	4152.780134688	3290.912008531	3835.609321219
92575939	127	 	2957.510098894	 
92575941	129	1684.848825259	1337.122404463	1574.075555487
92575944	129	1024.959287341	827.462430145	945.438010461
92575951	122	 	4928.119658803	6824.834837899
92575959	122	3592.455022501	2633.324568849	3235.761815579
92575971	130	1604.847114229	1183.331782878	1494.140423434
92575974	130	 	5090.399626593	6159.832119309
92575990	128	2713.287887498	1999.635201937	2434.220114388
92575992	128	 	1679.118437305	 
92575995	128	4294.785769242	3332.089135392	4168.218990708
92575999	128	2829.017620761	2130.042290206	2629.061943102
92576033	177	5236.136884005	3840.636472187	4590.484807285
92576040	179	 	2030.079343654	2477.448739074
92576122	171	 	4821.470019476	 
92576182	173	 	8838.351866198	11853.124922003
92576248	179	2833.343545163	2429.205765735	2649.470469581
92576288	173	 	8838.351866198	11853.124922003
92576312	175	5355.299351997	4250.04940432	5003.206030069
92576328	171	 	2726.123244769	3298.849354892
92576439	177	 	4068.151022217	 
92576472	180	 	534.577459086	740.323514631
92576476	180	 	4176.936426782	 
92576493	178	6084.473076215	3994.654640778	5515.671020321
92576499	178	674.541894825	442.858712136	611.482890083
92576504	176	5073.512763928	3740.947565138	4723.528143073
92576531	177	 	3341.104850871	4105.464106546
92576533	177	4569.31277603	3545.079609385	4434.655722279
92576555	172	6988.007053362	5122.31622822	6294.171046998
92576611	175	4085.325466905	3237.456884725	3773.306539922
92576693	178	597.847436116	421.000692482	535.059467024
92576694	178	 	4996.38033389	6700.652016575
92576774	180	 	4739.583404631	 
92576865	174	 	2318.853100561	 
92576937	177	 	3654.315997667	4422.044379176
92576939	177	 	3675.014615084	 
92576950	172	6644.690380705	5273.330310448	6207.823838698
92576984	173	6195.12065028	4567.963576869	5767.76448645
92577013	195	 	11322.448365044	13628.472127475
92577065	194	 	5207.063626427	6129.813951861
92577112	195	 	5733.278771523	6937.772535831
92577127	191	2002.332326782	1553.50002305	1943.323853304
92577129	191	2599.939228546	1948.252259767	2377.589388043
92577160	194	 	5591.289171192	 
92577161	194	5961.911174979	4334.778766705	5882.581825131
92577217	195	7263.854288619	5635.626840695	7049.789446634
92577326	191	 	1178.710865916	1426.344016944
92577368	194	6561.190661941	5207.063626427	6129.813951861
92577514	195	7916.773676569	5656.592578149	7076.016171508
92577581	193	6479.532778924	4749.596795097	5836.182949409
92577617	195	 	5053.909863433	 
92577864	194	 	6170.134551796	8274.775290143
92577917	195	6356.228606136	5044.402530207	5938.327477223
92577918	195	6377.495487258	5053.909863433	5890.410843723
92577920	191	1117.04800871	911.240064719	1046.059161091
92577927	191	2415.711168053	1781.221262802	2249.068883588
92577929	191	2002.332326782	1553.50002305	1943.323853304
92577982	193	7261.278096965	5167.202722026	7012.236253631
92577987	193	 	3800.459943108	 
92578034	157	4835.344029951	3831.816570453	4466.04203234
92578042	159	 	5429.12651812	 
92578108	156	 	4170.075923238	 
92578161	154	4760.683236915	3489.653747578	4287.997187883
92578280	153	1811.99037599	1289.431623203	1749.844095774
92578310	155	8309.134662723	5912.868598827	8024.154224667
92578387	153	 	3661.622694219	 
92578411	155	 	4269.097370729	4975.699631566
92578423	151	 	916.315180124	 
92578428	151	 	979.751828406	1203.893964536
92578515	155	5715.012207959	4189.191503923	5147.571274312
92578545	159	 	6308.916156923	 
92578562	154	7053.539212394	5173.676807394	6183.78879494
92578580	153	6490.224803308	4783.157012191	5822.690557793
92578589	153	 	3661.622694219	 
92578667	154	 	3415.21778706	 
92578722	151	 	1571.511604455	1891.578694715
92578783	153	1811.99037599	1289.431623203	1749.844095774
92578846	159	 	5477.242384695	6627.945945586
92578860	154	4251.777811143	3369.363703949	3927.045996959
92578899	158	4327.925738875	3357.80062339	4200.382329742
92578902	156	 	5942.776572476	 
92578907	156	4027.003036624	2993.700380541	3804.762696702
92578930	157	5982.658306728	4411.304763975	5569.958369503
92578935	157	4725.719570399	3541.195782951	4321.570511374
92578984	153	 	3808.427484354	 
92578995	158	 	4113.49928429	4977.696619683
92579175	110	11296.676093386	8965.219000052	10553.956788446
92579179	110	10454.59278185	8111.146142104	10146.49729109
92579232	107	 	2649.636485816	3669.418084008
92579235	107	 	4201.239163384	5056.898383905
92579238	107	5438.728431063	3870.256995817	5252.195022512
92579261	104	4113.135130462	3127.543067006	3853.144411494
92579267	104	 	3314.323902044	4444.8439978
92579291	108	3725.554240211	2747.032226429	3468.555440976
92579292	108	4646.014196268	3604.588041883	4509.09676163
92579297	108	5177.102336308	4102.646346634	4781.698364473
92579299	108	 	3085.836433516	 
92579335	107	3358.213364968	2528.487781208	3120.853998881
92579371	110	 	6909.977318195	 
92579376	110	9040.289380826	6774.298422734	8267.153270622
92579934	107	4342.618220765	3058.046531081	3886.541699985
92579935	107	 	2858.265094842	3958.342845914
92579937	107	7953.264823492	5829.864961728	7163.588817078
92579942	109	2898.410919708	2364.399858792	2714.215746796
92579943	109	 	3058.407891434	3700.943058612
92579949	109	 	2529.902710195	3392.855740349
92579960	104	3535.89829421	2593.534174435	3099.897454793
92579962	104	 	3253.566559523	3937.102244579
92579963	104	4113.135130462	3127.543067006	3853.144411494
92579965	104	3131.146052815	2532.024682693	2951.114295769
92579968	104	4113.135130462	3127.543067006	3853.144411494
92579970	110	10454.59278185	8111.146142104	10146.49729109
92579979	110	 	8965.219000052	10553.956788446
92579982	103	5242.02490637	4160.15303093	4897.379006749
92579984	103	5527.318331812	4372.22050673	5258.286460081
92579987	103	6112.186174744	4483.206926699	5358.511130633
92579992	108	 	3956.805280672	5306.476591322
92579993	108	4221.331848048	3096.290531736	3700.812286663
92579994	108	4666.074132563	3703.069480181	4359.295102352
92579996	108	4910.465991055	3733.81699822	4600.076095516
92579998	108	 	4102.646346634	4781.698364473
92608078	360	6696.792617567	5314.679461295	6256.500524819
92608972	360	7045.107261039	5279.218064377	6442.60145682
92614170	370	 	5735.376087071	7691.720160488
92614372	370	4778.54012631	3792.324253502	4464.366826845
92619168	304	10364.260156584	8161.38006963	9815.349946246
92619265	304	6024.457876765	4674.047022685	5846.917885985
92619368	304	7740.369446966	6636.311407275	7238.049303409
92619869	304	6024.457876765	4674.047022685	5846.917885985
92619969	304	 	3967.566938395	 
92624977	370	7656.352487362	5615.832293595	6712.271002658
92676153	372	4220.96809923	3162.962636757	3859.985975753
92676351	372	4220.96809923	3162.962636757	3859.985975753
92676356	372	4203.025295303	3330.729286854	3882.016980703
92676421	371	550.790398313	414.70467799	511.860394295
92676457	372	 	3330.729286854	 
92676556	372	4203.025295303	3330.729286854	3882.016980703
92678179	360	6696.792617567	5314.679461295	6256.500524819
92678476	360	7763.816665163	5602.851724843	7074.471732883
92710091	248	6037.715910486	5176.518155261	5645.891418943
92710098	248	7058.745616352	5558.438800215	6684.901513401
92710191	248	6122.149940824	4994.188490377	5733.084864069
92710199	248	6801.358422322	5171.612579033	6371.445470258
92710210	245	10042.094357023	7635.801302012	9407.334921942
92710291	248	6122.149940824	4994.188490377	5733.084864069
92710392	248	 	5171.612579033	 
92710398	248	6801.358422322	5171.612579033	6371.445470258
92710581	243	7375.176580162	5248.25409405	7122.228332497
92710936	247	6705.773980372	5470.284059612	6279.619362534
92710999	248	6037.715910486	5176.518155261	5645.891418943
92711067	234	10741.31734231	8167.476029576	10062.360116275
92711076	240	 	4443.691558202	 
92711969	234	 	1169.964677119	 
92712148	219	14804.476202072	11257.018171744	13868.687250425
92712217	215	4918.740663624	4012.498590669	4606.152727632
92712242	219	8303.950707033	7119.505493906	7765.056311897
92712276	220	4236.642404281	3152.285118964	3873.447253872
92712391	218	3626.116263144	3108.900277446	3390.795293733
92712919	215	8384.937978704	6602.754530529	7940.856298002
92712996	218	4132.050699167	3370.750511323	3869.457224984
92712998	218	4132.050699167	3370.750511323	3869.457224984
92713132	287	7737.291336163	5883.27665109	7248.218190364
92713191	288	6325.440505573	5003.551276103	6017.561531253
92713198	288	7172.765768616	5648.224446674	6792.882949459
92713293	288	5738.906826556	4681.555123211	5374.197002957
92713391	288	5354.302705869	4590.584515173	5006.829097239
92713399	288	7121.653419705	5415.158284848	6671.49466389
92713936	287	 	5883.27665109	7248.218190364
92714112	265	16909.220172464	11157.93524421	14585.802071032
92714199	268	8460.293459802	7253.548087189	7911.2530226
92714212	265	 	11157.93524421	 
92714249	269	 	5813.606983314	 
92714330	267	7015.611286408	6014.930104822	6560.32515405
92714331	267	 	2005.302588875	 
92714687	263	8084.420056227	6366.110433796	7656.254355398
92714880	263	9685.954418973	7364.999843075	9073.706541526
92714895	268	 	1418.37073077	1561.07040237
92714917	265	13553.581965012	11866.940021872	13060.851040532
92714927	261	10104.693016043	7683.40003043	9465.976728136
92714932	267	 	2278.417378432	2812.197883432
92714942	269	 	5813.606983314	7162.384906764
