AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
57193349	3	2	8	2003	2004	15	7
57193349	4	2	8	2005	9917	35	7
57193349	5	3	8	9998	9998	998	7
57196641	1	2	8	2003	9917	60	7
57196641	1	1	1	2007	9917	12	7
57196641	2	2	8	2001	2001	7	7
57197327	1	2	8	9998	9998	12	7
57197327	2	2	8	2006	9917	24	7
57198440	1	2	8	2003	2007	36	7
57198440	2	2	8	2006	2007	2	7
57198440	3	2	8	2003	2004	9	7
57198440	4	3	8	1999	2000	19	7
57198440	5	3	8	1999	1999	1	7
57199896	1	2	8	2001	2002	11	7
57199896	1	1	1	2001	2003	21	1
57199896	2	3	8	2000	2001	2	7
57199896	3	4	8	2007	9917	7	7
57200870	1	2	8	1994	1994	6	7
57200870	2	2	8	1995	1997	15	7
57200870	3	2	8	1997	1998	21	7
57200870	4	2	8	2006	2007	15	7
57200870	5	2	8	1999	2000	16	7
57200870	6	2	8	2001	2002	19	7
57200870	7	5	8	2007	9917	11	7
57203993	1	4	8	2007	9917	2	7
57210612	1	2	8	2007	2008	8	7
57210612	2	2	8	2007	2007	4	7
57210612	3	2	8	2008	2008	1	7
57210612	4	5	8	2008	9917	1	7
57211375	1	2	8	2001	2002	8	7
57211375	2	2	8	2004	2007	37	7
57212347	1	3	8	1999	2002	32	7
57212347	2	4	8	2008	9917	1	7
57212679	1	2	8	2006	9917	31	7
57212679	1	1	1	2006	9917	25	7
57212861	1	4	8	2007	9917	10	7
57212861	2	4	8	2001	9917	82	7
57213037	1	2	8	2001	9917	83	7
57213037	1	1	1	2003	9917	58	7
57213527	1	2	8	2008	9917	4	7
57214806	1	1	1	1999	2001	34	1
57214806	2	2	8	2007	2008	16	7
57214806	2	1	1	2007	2008	14	1
57214806	3	2	8	1999	2000	9	7
57214806	4	2	8	2000	2001	9	7
57214806	5	3	8	2000	2000	1	7
57214893	1	2	8	2004	9917	51	7
57214893	1	1	1	2005	9917	34	7
57217465	1	2	8	2000	9917	94	7
57217465	1	1	1	2001	9917	83	7
57217613	1	2	8	2003	9917	57	7
57217613	1	1	1	2004	9917	43	7
57217613	2	2	8	1999	1999	8	7
57218874	1	4	8	2006	9917	25	7
57220133	1	2	8	1997	1998	3	7
57220133	2	5	8	2006	2006	1	7
57220692	1	1	1	2005	9917	37	7
57220955	1	2	8	2002	9917	63	7
57220955	1	1	1	2004	9917	44	7
57228523	1	2	8	1998	9917	123	7
57228523	1	1	1	2000	9917	93	7
57230663	1	1	1	1998	9917	121	7
57230940	1	2	8	2007	9917	15	7
57230940	1	1	1	2007	9917	11	7
57231300	1	2	8	2006	9917	18	7
57231300	1	1	1	2007	9917	8	7
57231320	1	2	8	1998	1999	12	7
57231320	2	2	8	2000	2001	18	7
57231320	3	2	8	2003	9917	69	7
57231603	1	5	8	2007	2008	3	7
57232895	1	4	8	2008	9917	1	7
57233403	1	1	1	1996	2000	44	1
57233403	2	2	8	2001	2005	48	7
57233403	2	1	1	2005	9917	40	7
57233403	3	4	8	2008	9917	5	7
57234514	1	2	8	1994	2002	96	7
57234514	1	1	1	1999	2002	37	1
57234514	2	2	8	2002	9917	67	7
57234514	2	1	1	2003	9917	56	7
57234514	3	2	8	1992	1993	8	7
57234514	4	2	8	1996	1996	3	7
57234514	5	3	8	1992	1993	9	7
57234514	6	3	8	1997	1997	3	7
57235039	1	2	8	9998	9998	24	7
57235039	2	3	8	1995	1997	26	7
57235039	3	5	8	2007	2007	7	7
57239363	1	2	8	2004	9917	49	7
57239974	1	1	1	2001	9917	76	7
57241075	1	2	8	1998	1999	5	7
57241075	2	2	8	1999	2003	38	7
57241075	3	3	8	2007	9917	8	7
57241075	4	4	8	2004	9917	25	7
57241170	1	2	8	2005	2006	12	7
57242812	1	2	8	2003	2008	24	7
57242812	1	1	1	2005	9917	40	7
57242885	1	2	8	1999	9917	112	7
57242885	1	1	1	2002	9917	72	7
57245293	1	2	8	1996	9917	141	7
57245315	1	2	8	1995	2001	84	7
57245315	2	2	8	1997	1998	6	7
57245315	3	3	8	1999	2000	11	7
57245315	4	3	8	2003	2003	2	7
57245315	5	5	8	2008	9917	1	7
57245379	1	1	1	2000	9917	82	7
57245379	2	3	8	1995	1997	28	7
57248884	1	2	8	1997	2004	84	7
57248884	1	1	1	2005	9917	35	7
57248884	2	2	8	2001	2001	1	7
57248884	3	2	8	2004	2004	2	7
57249576	1	2	8	2003	9917	61	7
57249576	1	1	1	2007	9917	11	7
57249576	2	2	8	1997	2000	37	7
57249576	3	2	8	2001	2001	4	7
57249576	4	2	8	2002	2002	4	7
57251197	1	2	8	2004	2007	37	7
57251197	2	3	8	1997	1998	8	7
57251197	3	4	8	2007	9917	10	7
57256290	1	2	8	9996	9996	998	7
57256290	2	2	8	2005	9917	39	7
57258682	1	2	8	2001	9917	87	7
57258751	1	2	8	2003	2007	89	7
57258751	2	5	8	2007	2007	2	7
57262270	1	2	8	1999	2004	61	7
57262270	2	2	8	2005	2006	14	7
57262270	3	3	8	1997	1997	0	7
57262270	4	5	8	2008	2008	2	7
57263513	1	2	8	1997	9917	119	7
57263513	1	1	1	2000	9917	88	7
57263513	2	2	8	1998	1998	3	7
57263513	3	2	8	1999	2000	4	7
57263513	4	2	8	1997	1997	6	7
57265490	1	1	1	2004	9917	47	7
57265490	2	2	8	2001	2002	16	7
57268298	1	2	8	2000	2001	22	7
57268298	2	2	8	2002	2004	18	7
57268298	3	2	8	2007	2008	11	7
57272130	1	2	8	1999	9917	102	7
57272130	1	1	1	2000	9917	96	7
57272130	2	2	8	1997	1998	12	7
